rs, RPA, ALDA, Dyn. LDA, MCP07 static, MCP07 k=0, MCP07, QV,  QV-MCP07 TD, QV-MCP07 TDC
1.00000000000000      , -7.871304756863162E-002 , -4.981331714626504E-002 , -6.063879506270112E-002 , -6.207666818277745E-002 , -6.739852810283986E-002 , -6.375138346857090E-002 , -6.125227558851147E-002 , -6.326580622632046E-002 , -6.554068161710774E-002
1.10000000000000      , -7.628122604791017E-002 , -4.752655791190034E-002 , -5.843095523874175E-002 , -5.970178312785365E-002 , -6.506505575656603E-002 , -6.137022615706128E-002 , -5.895095356731134E-002 , -6.088121287886875E-002 , -6.310730321348626E-002
1.20000000000000      , -7.408724845067562E-002 , -4.546534896037340E-002 , -5.643843585160835E-002 , -5.756324122936965E-002 , -6.296143423676254E-002 , -5.922446337417976E-002 , -5.687554104554375E-002 , -5.873268142546906E-002 , -6.090897156554045E-002
1.30000000000000      , -7.209183311155695E-002 , -4.358921395917992E-002 , -5.462473582842638E-002 , -5.562041757247518E-002 , -6.104912373842804E-002 , -5.727393153625904E-002 , -5.498828482856866E-002 , -5.678091623073121E-002 , -5.890717664487360E-002
1.40000000000000      , -7.026455242067921E-002 , -4.187138070874219E-002 , -5.296311819395385E-002 , -5.384382172402252E-002 , -5.929899802515923E-002 , -5.548920132426832E-002 , -5.326008550763793E-002 , -5.499553300476224E-002 , -5.707213180453083E-002
1.50000000000000      , -6.858136883385077E-002 , -4.028831214907295E-002 , -5.143151867901479E-002 , -5.220920555183901E-002 , -5.768764146789503E-002 , -5.384618908540007E-002 , -5.166804132449370E-002 , -5.335256839215204E-002 , -5.538031748591119E-002
1.60000000000000      , -6.702296936396006E-002 , -3.882346208216646E-002 , -5.001302015445488E-002 , -5.069809224254448E-002 , -5.619662194081123E-002 , -5.232640278076468E-002 , -5.019380741312657E-002 , -5.183279672390345E-002 , -5.381283241541196E-002
1.70000000000000      , -6.557361870692656E-002 , -3.745962440239202E-002 , -4.869254257253747E-002 , -4.929388614533938E-002 , -5.481033966455854E-002 , -5.091345037202907E-002 , -4.882247395297395E-002 , -5.042057887403895E-002 , -5.235426410120916E-002
1.80000000000000      , -6.422032542454660E-002 , -3.618642186922561E-002 , -4.745891783700861E-002 , -4.798450501049251E-002 , -5.351651190748673E-002 , -4.959518013936643E-002 , -4.754175059191382E-002 , -4.910301941106620E-002 , -5.099186918007734E-002
1.90000000000000      , -6.295223165815131E-002 , -3.499342152584507E-002 , -4.630216797686605E-002 , -4.675913527782088E-002 , -5.230458981966604E-002 , -4.836081658023912E-002 , -4.634137257280268E-002 , -4.786935309652638E-002 , -4.971497573380407E-002
2.00000000000000      , -6.176019913297608E-002 , -3.387187763247658E-002 , -4.521399898076783E-002 , -4.560866467754065E-002 , -5.116573563054424E-002 , -4.720129152852969E-002 , -4.521271009338494E-002 , -4.671053219888824E-002 , -4.851458370012079E-002
2.10000000000000      , -6.063646750045159E-002 , -3.281438869873653E-002 , -4.418743211855725E-002 , -4.452535112816196E-002 , -5.009247023955849E-002 , -4.610890686243518E-002 , -4.414843568442853E-002 , -4.561888007517750E-002 , -4.738303125930148E-002
