# GK weight,point, GL weight
0.0229353220105304,-0.9914553711208118,0.0000000000000000
0.0630920926299767,-0.9491079123427570,0.1294849661688681
0.1047900103222500,-0.8648644233597669,0.0000000000000000
0.1406532597155250,-0.7415311855993936,0.2797053914892806
0.1690047266392700,-0.5860872354676898,0.0000000000000000
0.1903505780647854,-0.4058451513773962,0.3818300505051178
0.2044329400753002,-0.2077849550078981,0.0000000000000000
0.2094821410847269,0.0000000000000006,0.4179591836734698
0.2044329400752992,0.2077849550078988,0.0000000000000000
0.1903505780647853,0.4058451513773976,0.3818300505051184
0.1690047266392669,0.5860872354676914,0.0000000000000000
0.1406532597155259,0.7415311855993947,0.2797053914892762
0.1047900103222500,0.8648644233597691,0.0000000000000000
0.0630920926299784,0.9491079123427586,0.1294849661688694
0.0229353220105294,0.9914553711208126,0.0000000000000000
