SJEOS,parameters 
V0,5.6515975240417795
B0,5.592437896426309
B1,3.6753026520347603
E0,-19.67521063639941
alpha,96.0469028871901
beta,-145.91277190196817
gamma,3.6848351423657713
omega,26.50582323601289
nion,2.0
