rs, PW92, RPA, ALDA, DLDA, Re QV, Im QV,MCP07 static, MCP07_k0, MCP07 
1.0, -0.059773864184404085, -0.07871304758843661, -0.049813317166070285, -0.0591973397831776, -0.0602467787658593, -1.1524660105757151e-14, -0.062076668202582626, -0.06650657530125037, -0.06339375925889745 
1.09, -0.05780135845534191, -0.0765129635213394, -0.04774434960676434, -0.05718328484349107, -0.058145103288034586, -1.3478790964339554e-14, -0.05992787941400966, -0.06438632914474166, -0.06123833593763059 
1.18, -0.05601101328748604, -0.07450904915021764, -0.04586029151542365, -0.055347716259682586, -0.05623073986626647, -1.5546971090076196e-14, -0.057973575777795494, -0.06245610045517553, -0.05927679971736561 
1.27, -0.054374599489063376, -0.07267156102817748, -0.04413289215873504, -0.05366374607084694, -0.05447500665178914, -1.7523265451010034e-14, -0.05618399346628013, -0.060687088347347734, -0.05747961166622841 
1.3599999999999999, -0.052869851985036895, -0.07097694817879534, -0.042540012412021246, -0.052110053355762034, -0.05285526067768786, -1.9769246161049504e-14, -0.05453570955737286, -0.05905648330652855, -0.05582347978687688 
1.45, -0.05147891418335884, -0.06940624952675115, -0.041065078455413954, -0.05066997390979546, -0.05135338650366773, -2.3413718261873653e-14, -0.0530103978264561, -0.05754615596733571, -0.05429010975236141 
1.54, -0.05018725637240441, -0.06794398483632423, -0.039688687061713114, -0.04932734301687973, -0.04995459362639983, -2.6009313254572853e-14, -0.05159071160023791, -0.0561401290214015, -0.05286244051326003 
1.63, -0.04898290515576387, -0.0665773529205606, -0.038404913295709525, -0.048073079912986955, -0.048646708850139775, -2.8678692505006694e-14, -0.050266481995876154, -0.05482718444724744, -0.051530055129723557 
1.72, -0.04785588269181434, -0.06529564841510337, -0.03719926604232989, -0.04689550621816841, -0.04740663320312574, -3.144056603234302e-14, -0.04902528858037447, -0.053596044294039684, -0.05028076684063335 
1.81, -0.04679779091341928, -0.06408984068898789, -0.03606516827190388, -0.045787228675405814, -0.046267491855879535, 4.719637564683279e-15, -0.047858971797986656, -0.052438338086925065, -0.04910635386817192 
1.9, -0.045801498089978764, -0.06295223005463053, -0.03499341992232962, -0.04474027458120102, -0.04516781437695587, 5.134328657677025e-15, -0.0467591336743054, -0.05134616517989587, -0.047998509626317555 
1.99, -0.044860899015009746, -0.0618762125745501, -0.03398138494760917, -0.043750225774449876, -0.04410781758941604, 5.549254845943229e-15, -0.04572071337403712, -0.05031388268220604, -0.04695203339965397 
2.08, -0.043970729065823354, -0.060856072128615726, -0.033020074136759406, -0.04281025296222205, -0.04312012271360716, 5.973563546424612e-15, -0.044736563352656494, -0.04933517962435176, -0.04595994496226162 
2.17, -0.04312641828794679, -0.05988684484051352, -0.03210814111099836, -0.0419173644045598, -0.042195685741525386, 6.33563549285685e-15, -0.04380313929427712, -0.048405973388463155, -0.04501857230422618 
2.26, -0.04232397563005811, -0.058964177092546144, -0.03123819641777328, -0.0410659276873251, -0.04132662584177639, 6.772010398856235e-15, -0.042914841644128524, -0.04752129067490945, -0.04412243670648458 
2.3499999999999996, -0.04155989617853092, -0.05808424180687422, -0.030408266520646904, -0.04025330135634058, -0.04044964284580305, 8.6898952103272e-15, -0.04206851861347594, -0.04667780506928654, -0.04326833950526307 
2.44, -0.04083108613938749, -0.0572436545131496, -0.029615140883529154, -0.039476369849809505, -0.03963585510296269, 9.238095796195975e-15, -0.0412608248570403, -0.04587223147668933, -0.042452938075288084 
2.5300000000000002, -0.040134801659937, -0.05643939346749981, -0.02885595806897556, -0.03873236128896759, -0.038852290251742784, 9.825732615040707e-15, -0.040488773361761515, -0.04510164046508055, -0.04167324832707471 
2.62, -0.03946859854803672, -0.05566878583851082, -0.028128192980935336, -0.038018834006266676, -0.038128977856082304, 1.03936456908806e-14, -0.03974972250353066, -0.04436344458832069, -0.04092663148430765 
2.71, -0.03883029064962287, -0.05492941961629075, -0.027428330518179313, -0.03733295748798243, -0.037414339464319525, 1.0974252739582042e-14, -0.03904078945364704, -0.04365501263796801, -0.040210249015653704 
2.8, -0.038217915162721064, -0.05421917210739921, -0.026756892596490393, -0.03667399819123428, -0.03670042449800911, 1.1566962980922544e-14, -0.038360931821652795, -0.04297488356216809, -0.03952296367381205 
2.8899999999999997, -0.037629703551629624, -0.053536094694415406, -0.0261107637141163, -0.03603961457741892, -0.036004115637639215, 1.2170190418373158e-14, -0.03770767456373125, -0.04232088348339528, -0.038862356743630935 
2.98, -0.03706405701506823, -0.05287811052931083, -0.025487974359004947, -0.035427897676263934, -0.03537551604227757, 1.2774451783371967e-14, -0.037078962541239775, -0.041690997468456455, -0.038226374852934245 
3.07, -0.03651952568252241, -0.05224398144714256, -0.024886314497693032, -0.034837161797550684, -0.034807369673621684, 1.3385465915039192e-14, -0.03647316544678572, -0.04108377251611138, -0.03761341804462797 
3.16, -0.035994790882032744, -0.05163220697058423, -0.024306545569989915, -0.034267128742077504, -0.03418939755095757, 1.4011925438714757e-14, -0.03588970186176914, -0.040498291334518564, -0.03702282927285755 
