# GK weight,point, GL weight
0.0425820367510788,-0.9840853600948419,0.0000000000000000
0.1152333166224729,-0.9061798459386633,0.2369268850561888
0.1868007965564953,-0.7541667265708488,0.0000000000000000
0.2410403392286487,-0.5384693101056840,0.4786286704993677
0.2728498019125592,-0.2796304131617825,0.0000000000000000
0.2829874178574922,-0.0000000000000004,0.5688888888888889
0.2728498019125577,0.2796304131617833,0.0000000000000000
0.2410403392286483,0.5384693101056831,0.4786286704993657
0.1868007965564928,0.7541667265708492,0.0000000000000000
0.1152333166224728,0.9061798459386639,0.2369268850561884
0.0425820367510816,0.9840853600948425,0.0000000000000000
