SJEOS,parameters 
V0,20.125305684342774
B0,1.2039238447255411
B1,4.193138691285919
E0,-17.5498225056687
alpha,130.09030886176814
beta,-281.2389173043357
gamma,172.20690802336682
omega,-38.60812208646796
nion,2.0
