rs=3.6, 
Re fxc, Im fxc 
-3.119476677943585e+00, 0.000000000000000e+00 
-3.119828548888826e+00, -4.357147540735875e-04 
-3.120391542401213e+00, -8.350601272470184e-04 
-3.121236032669792e+00, -1.201217032865275e-03 
-3.122362019694565e+00, -1.445837713997134e-03 
-3.123699129286482e+00, -1.343372894742823e-03 
-3.126091851714124e+00, -3.403366156564390e-04 
-3.129469812788442e+00, -4.288814203169985e-04 
-3.132988522240856e+00, -5.208956724976386e-04 
-3.136999851016609e+00, -6.542617981630545e-04 
-3.141433424926652e+00, -8.182406960644768e-04 
-3.146359618160032e+00, -9.921353172028032e-04 
-3.151778430716750e+00, -1.245763894532843e-03 
-3.157619488407759e+00, -1.525853166945040e-03 
-3.164023539611153e+00, -1.822128502838345e-03 
-3.170920210137885e+00, -2.251903675356256e-03 
-3.178309499987956e+00, -2.694838821226199e-03 
-3.186191409161364e+00, -3.206459175607272e-03 
-3.194706686036207e+00, -3.834900683808509e-03 
-3.203714582234389e+00, -4.496488435051490e-03 
-3.213215097755908e+00, -5.286720203874748e-03 
-3.223348980978862e+00, -6.188706184906690e-03 
-3.234045857714202e+00, -7.135942769496684e-03 
-3.245235353772880e+00, -8.292894437450585e-03 
-3.257198965911090e+00, -9.545555002510159e-03 
-3.269655197372638e+00, -1.085732988637030e-02 
-3.282674422346571e+00, -1.248719610472871e-02 
-3.296397389210988e+00, -1.418321406079252e-02 
-3.310753723776839e+00, -1.595593988291897e-02 
-3.325673051855077e+00, -1.818750541764027e-02 
-3.341436870201894e+00, -2.043947946718557e-02 
-3.357552559493953e+00, -2.294972679053810e-02 
-3.374723861621736e+00, -2.575695319167442e-02 
-3.392528531450953e+00, -2.868100074663090e-02 
-3.410755446414460e+00, -3.199562505080540e-02 
-3.430108348402741e+00, -3.557274508013002e-02 
-3.450094618092455e+00, -3.929272471322267e-02 
-3.470573507105508e+00, -4.356091927900151e-02 
-3.492319131521429e+00, -4.804094015381569e-02 
-3.514698123638786e+00, -5.269197030801723e-02 
-3.537710483457577e+00, -5.807981822155437e-02 
-3.561989578679237e+00, -6.361263696453100e-02 
-3.586972415791381e+00, -6.934672588818573e-02 
-3.612729368983055e+00, -7.604634868558301e-02 
-3.639893805955695e+00, -8.280227083421893e-02 
-3.667198991306432e+00, -9.012118649524116e-02 
-3.696896899084811e+00, -9.803124534426905e-02 
-3.727439297131769e+00, -1.062087261116804e-01 
-3.758474314502065e+00, -1.152447719854810e-01 
-3.792746544568582e+00, -1.249282603985258e-01 
-3.827863264903680e+00, -1.349425075000976e-01 
-3.863754101318308e+00, -1.476943105556478e-01 
-3.903515518130592e+00, -1.624658528368841e-01 
-3.944332547778601e+00, -1.777300144414583e-01 
-3.983038351755161e+00, -1.964213990526844e-01 
-4.024488749104604e+00, -2.178784892935082e-01 
-4.066994759289772e+00, -2.400533962626247e-01 
-4.106404305156815e+00, -2.643184166464753e-01 
-4.147925076695306e+00, -2.909409723634437e-01 
-4.189234725666653e+00, -3.175213035669831e-01 
-4.230262877881807e+00, -3.469166023324542e-01 
-4.272135520365540e+00, -3.772197281366482e-01 
-4.313515543525935e+00, -4.081491842233720e-01 
-4.355317811820619e+00, -4.412109782382590e-01 
-4.397894196194835e+00, -4.752439360620124e-01 
-4.439907587056664e+00, -5.100439725463922e-01 
-4.483328461699460e+00, -5.461740812037846e-01 
-4.527664200799883e+00, -5.833246156023774e-01 
-4.570803578686485e+00, -6.223611782674643e-01 
-4.616194930622633e+00, -6.620592583096050e-01 
-4.662501147016408e+00, -7.028340634441848e-01 
-4.707399879629218e+00, -7.449107910761578e-01 
-4.755606199127297e+00, -7.874871754503737e-01 
-4.802264286466314e+00, -8.327377790084247e-01 
-4.853285573526325e+00, -8.797477372926830e-01 
-4.904447608964432e+00, -9.264761988207479e-01 
-4.953850289676332e+00, -9.770048665574208e-01 
-5.006560557273502e+00, -1.029504011587446e+00 
-5.061452424731169e+00, -1.084466253234161e+00 
-5.116133169621691e+00, -1.139217372313731e+00 
-5.173980753019386e+00, -1.197698323412861e+00 
-5.235065549113303e+00, -1.257516384103908e+00 
-5.296291093585315e+00, -1.315926961013989e+00 
-5.361527966833081e+00, -1.379052608590306e+00 
