rs=6.8, 
Re fxc, Im fxc 
-2.223661818237458e+01, 0.000000000000000e+00 
-2.224038450471439e+01, -3.949365605521277e-03 
-2.224666170861406e+01, -7.269755380294838e-03 
-2.225670523485355e+01, -9.413546056112797e-03 
-2.227001290712087e+01, -6.156179408492000e-03 
-2.229888804505939e+01, -3.100687638284840e-03 
-2.233027406455777e+01, -3.951123222613187e-03 
-2.236718402348788e+01, -5.378057213087941e-03 
-2.240961792184970e+01, -6.949366893255285e-03 
-2.245782684779923e+01, -9.322652143645463e-03 
-2.251155971318047e+01, -1.192417652782793e-02 
-2.257131869430540e+01, -1.557399396325658e-02 
-2.263710379117402e+01, -1.955474558827624e-02 
-2.270891500378634e+01, -2.485471438485220e-02 
-2.278700342029833e+01, -3.061015709638876e-02 
-2.287111795255401e+01, -3.798210535617036e-02 
-2.296176077686536e+01, -4.595917607188089e-02 
-2.305842971692040e+01, -5.586962558869217e-02 
-2.316238021349906e+01, -6.657100279686287e-02 
-2.327185464950944e+01, -7.953970605359718e-02 
-2.338911281835542e+01, -9.352029457895954e-02 
-2.351189492663312e+01, -1.101197325712675e-01 
-2.364296294405839e+01, -1.279972092775498e-01 
-2.377955490091538e+01, -1.488199500535610e-01 
-2.392493494323192e+01, -1.712220353307311e-01 
-2.407533674866820e+01, -1.968732013463744e-01 
-2.423527990403199e+01, -2.244326373475198e-01 
-2.440024482251552e+01, -2.555575251636821e-01 
-2.457525326723854e+01, -2.889522499099679e-01 
-2.475503238692531e+01, -3.262137322584552e-01 
-2.494611047363150e+01, -3.662120755072021e-01 
-2.514145705898948e+01, -4.103784821453351e-01 
-2.534986022845878e+01, -4.577588171801030e-01 
-2.556077427948795e+01, -5.096085213914415e-01 
-2.578424273831648e+01, -5.651743303113893e-01 
-2.601273296026475e+01, -6.255861406418882e-01 
-2.625628847157225e+01, -6.903668848865631e-01 
-2.649984398287975e+01, -7.602196098821774e-01 
-2.676348654666621e+01, -8.351694244443303e-01 
-2.702712911045268e+01, -9.155176343602059e-01 
-2.730834784515825e+01, -1.001741307126180e+00 
-2.759207746142368e+01, -1.093664681033061e+00 
-2.789589413016809e+01, -1.192442761598391e+00 
-2.820222168047236e+01, -1.297146522645017e+00 
-2.853114716481548e+01, -1.409809778236434e+00 
-2.886007264915860e+01, -1.528574476018337e+00 
-2.921661783066029e+01, -1.656704762018560e+00 
-2.957316301216199e+01, -1.791237795996455e+00 
-2.996988229862163e+01, -1.937747735014934e+00 
-3.036409070352139e+01, -2.093246630017752e+00 
-3.081856026585806e+01, -2.299766638317152e+00 
-3.126047542039538e+01, -2.507416543318493e+00 
-3.169987969337283e+01, -2.774021947345608e+00 
-3.215183837414963e+01, -3.049716742619456e+00 
-3.257868823932772e+01, -3.337714857536673e+00 
-3.303315780166439e+01, -3.646553289400820e+00 
-3.347256207464183e+01, -3.967192864596361e+00 
