rs=1.2, 
Re fxc, Im fxc 
-1.089236059380767e-01, 0.000000000000000e+00 
-1.089314252924154e-01, -1.102763542386717e-05 
-1.089392446467541e-01, -2.174562441592185e-05 
-1.089548833554315e-01, -3.367717720134262e-05 
-1.089783414184476e-01, -4.545703451259263e-05 
-1.090017994814637e-01, -5.607649963997970e-05 
-1.090252575444798e-01, -6.510003454683833e-05 
-1.090643543161733e-01, -7.062206258082754e-05 
-1.090956317335281e-01, -7.045785613971486e-05 
-1.091347285052216e-01, -5.863421044416814e-05 
-1.091894639855925e-01, -2.660848087915875e-05 
-1.092989349463343e-01, -1.489899775695703e-05 
-1.093927671983987e-01, -1.757165306992434e-05 
-1.094944188048017e-01, -2.036003482710439e-05 
-1.095960704112049e-01, -2.328603722064555e-05 
-1.097055413719466e-01, -2.723246535538692e-05 
-1.098306510413658e-01, -3.217116955570920e-05 
-1.099557607107850e-01, -3.737494986811336e-05 
-1.100886897345429e-01, -4.284927984063652e-05 
-1.102294381126395e-01, -4.860041495674961e-05 
-1.103858251994134e-01, -5.650734606404202e-05 
-1.105500316405261e-01, -6.532835969352833e-05 
-1.107142380816388e-01, -7.458412942424631e-05 
-1.108940832314289e-01, -8.428482041683625e-05 
-1.110817477355577e-01, -9.443434234846752e-05 
-1.112772315940251e-01, -1.084935414494483e-04 
-1.114883541611700e-01, -1.230375405194284e-04 
-1.116994767283149e-01, -1.382461847081979e-04 
-1.119262380041371e-01, -1.541194740157568e-04 
-1.121608186342981e-01, -1.706808665051212e-04 
-1.124110379731365e-01, -1.936932263239123e-04 
-1.126690766663135e-01, -2.163224377801071e-04 
-1.129349347138293e-01, -2.398977911112846e-04 
-1.132086121156838e-01, -2.644349250261220e-04 
-1.134979282262156e-01, -2.931319554491472e-04 
-1.138028830454249e-01, -3.256135533721027e-04 
-1.141156572189728e-01, -3.594009834696210e-04 
-1.144440701011982e-01, -3.944942457417021e-04 
-1.147803023377623e-01, -4.309167982513618e-04 
-1.151165345743263e-01, -4.746817244850600e-04 
-1.154918635825839e-01, -5.219888182341888e-04 
-1.158671925908414e-01, -5.710552667095249e-04 
-1.162659796621151e-01, -6.219123473284230e-04 
-1.166647667333887e-01, -6.745756987995606e-04 
-1.170791925133398e-01, -7.392886753066334e-04 
-1.175248957106456e-01, -8.072701419272822e-04 
-1.179862376166288e-01, -8.775661374321859e-04 
-1.184553988769508e-01, -9.502861327820866e-04 
