rs=3.4, 
Re fxc, Im fxc 
-2.616777989658679e+00, 0.000000000000000e+00 
-2.617091849853663e+00, -3.625964060609877e-04 
-2.617531254126641e+00, -6.926266782904470e-04 
-2.618158974516609e+00, -9.992053167507103e-04 
-2.619100555101560e+00, -1.218342504888462e-03 
-2.620167679764505e+00, -1.190471719573892e-03 
-2.621736980739425e+00, -4.114016663809825e-04 
-2.624687266572273e+00, -3.511342317401761e-04 
-2.627574780366125e+00, -4.265360049831057e-04 
-2.630713382315964e+00, -5.240586447684998e-04 
-2.634354160577777e+00, -6.574115644132546e-04 
-2.638246026995577e+00, -7.988997403119920e-04 
-2.642577297686355e+00, -9.841400273914835e-04 
-2.647347972650110e+00, -1.211249264481826e-03 
-2.652432507808849e+00, -1.451540629761492e-03 
-2.657893675201569e+00, -1.765714684940365e-03 
-2.663919790945259e+00, -2.124143027611966e-03 
-2.670196994844937e+00, -2.502093474411566e-03 
-2.676976375056589e+00, -2.994791208497276e-03 
-2.684257931580215e+00, -3.529483436671830e-03 
-2.691853348298825e+00, -4.091607045887975e-03 
-2.699950941329410e+00, -4.822022491654483e-03 
-2.708550710671968e+00, -5.586648698674234e-03 
-2.717527112248508e+00, -6.388310408702085e-03 
-2.727005690137021e+00, -7.427187654098758e-03 
-2.737049216376505e+00, -8.486151951974401e-03 
-2.747343830771977e+00, -9.658105920044244e-03 
-2.758454481674407e+00, -1.102779181095394e-02 
-2.770004536849814e+00, -1.245836657969050e-02 
-2.781805680181208e+00, -1.406595849839798e-02 
-2.794485632058557e+00, -1.588446446813464e-02 
-2.807604988208884e+00, -1.778143548661727e-02 
-2.821100976593191e+00, -1.993137782225691e-02 
-2.835475773523453e+00, -2.229537281087557e-02 
-2.850289974726693e+00, -2.475603673954926e-02 
-2.865480808163913e+00, -2.756006372153533e-02 
-2.881613222186085e+00, -3.056998299143083e-02 
-2.898310584559228e+00, -3.369791369464026e-02 
-2.915321807127355e+00, -3.727529219706664e-02 
-2.933462926397424e+00, -4.104224225726328e-02 
-2.952106221979466e+00, -4.495105712559264e-02 
-2.971188921834487e+00, -4.943486387113248e-02 
-2.991401518391450e+00, -5.408501652001378e-02 
-3.012241835338380e+00, -5.890339823340645e-02 
-3.033647100636281e+00, -6.444805243799184e-02 
-3.056370578753115e+00, -7.012892196720023e-02 
-3.079659005220919e+00, -7.600438481729865e-02 
-3.103826240234679e+00, -8.280259664064969e-02 
-3.129562776223358e+00, -8.970124372639558e-02 
-3.155989804641001e+00, -9.683214735642955e-02 
-3.184299994228548e+00, -1.059529246226614e-01 
-3.214430572947001e+00, -1.151804143551877e-01 
-3.243807887197493e+00, -1.249351892152870e-01 
-3.276198259319831e+00, -1.388705818725717e-01 
-3.309467439988123e+00, -1.532704876184325e-01 
-3.341795040071464e+00, -1.678963727046818e-01 
-3.374813132583769e+00, -1.866275491413203e-01 
-3.408647261603032e+00, -2.059738915601272e-01 
-3.441790898193331e+00, -2.254708868725264e-01 
-3.475060078861623e+00, -2.478553959787774e-01 
-3.509082523997876e+00, -2.709429519217924e-01 
-3.542540020783159e+00, -2.942941504285937e-01 
-3.576436921841419e+00, -3.193527483961074e-01 
-3.611024315328644e+00, -3.451708880354822e-01 
-3.644795672308911e+00, -3.719494398715076e-01 
-3.679194749679144e+00, -3.999206604484719e-01 
-3.714284319478343e+00, -4.287016403284944e-01 
-3.749060029082558e+00, -4.585874080948604e-01 
-3.785405039661693e+00, -4.893143211837833e-01 
-3.822440542669792e+00, -5.208886567991625e-01 
-3.857781200624978e+00, -5.538377000685712e-01 
-3.895507196062042e+00, -5.872324248148569e-01 
-3.934488632279040e+00, -6.215059581070977e-01 
-3.972967892184065e+00, -6.581020568422192e-01 
-4.014146349765952e+00, -6.940076631483763e-01 
-4.051872345203015e+00, -7.329890993653753e-01 
-4.093552979096875e+00, -7.720333076213711e-01 
-4.136677369887662e+00, -8.129606770472702e-01 
-4.180115620873432e+00, -8.547668550191244e-01 
-4.225374260990109e+00, -8.990839145508495e-01 
-4.272892694510670e+00, -9.447191869015069e-01 
-4.320976076382202e+00, -9.894756507062096e-01 
-4.371319251657617e+00, -1.038877245396674e+00 
-4.424738256843876e+00, -1.089220420672090e+00 
-4.479098842615085e+00, -1.137303802543622e+00 
-4.536786346453124e+00, -1.190660035690883e+00 
-4.598993437098931e+00, -1.244832305345102e+00 
-4.664213585616583e+00, -1.295991517127476e+00 
-4.734957673565952e+00, -1.352674668341566e+00 
-4.813485494350920e+00, -1.409985539945624e+00 
-4.898667151269549e+00, -1.462839596780912e+00 
-4.994833915012612e+00, -1.520903732852931e+00 
-5.106254284231893e+00, -1.579532817275922e+00 
-5.235815772721242e+00, -1.636404284607002e+00 
-5.390674392926294e+00, -1.695221685146983e+00 
-5.578864965838633e+00, -1.755922246856867e+00 
-5.818151978494351e+00, -1.814551331279858e+00 
-6.135715723779050e+00, -1.876758421925665e+00 
-6.593574976221547e+00, -1.938777196454482e+00 
-7.353116648082560e+00, -2.047875000230881e+00 
-8.961336287180009e+00, -3.081479394351826e+00 
-8.351819788521295e+00, -5.691415231759857e+00 
-7.002848670480539e+00, -6.608012545190807e+00 
-5.951040385050529e+00, -6.908690611985373e+00 
-5.053149139240619e+00, -6.997199186970830e+00 
-4.271637253730734e+00, -7.036745571538799e+00 
-3.550637613813744e+00, -7.069387031817125e+00 
-2.989078952948569e+00, -7.009125874380217e+00 
-2.457964730996831e+00, -6.875421431317080e+00 
-1.833382942978891e+00, -6.404003418451278e+00 
-1.587253778072525e+00, -6.285364264747369e+00 
-1.212128073027781e+00, -5.853367092371543e+00 
-1.084449745708334e+00, -5.751362529001779e+00 
-8.144672059831929e-01, -5.288920917712517e+00 
-8.166642273480801e-01, -5.423566941360605e+00 
