rs=1.6, 
Re fxc, Im fxc 
-2.610899790034563e-01, 0.000000000000000e+00 
-2.611038800778361e-01, -2.885585019781570e-05 
-2.611455833009759e-01, -5.584895642872356e-05 
-2.611872865241156e-01, -8.496058639512960e-05 
-2.612289897472553e-01, -1.123276315268570e-04 
-2.612984951191549e-01, -1.356411233694029e-04 
-2.613819015654343e-01, -1.506181409063171e-04 
-2.614653080117138e-01, -1.500759990055007e-04 
-2.615626155323731e-01, -1.080071776095812e-04 
-2.617572305736919e-01, -3.097020361099990e-05 
-2.620074499125303e-01, -3.738971975964201e-05 
-2.622437681769887e-01, -4.398577955290897e-05 
-2.624939875158271e-01, -5.090434427178983e-05 
-2.627581079290454e-01, -5.999147659393653e-05 
-2.630639315654034e-01, -7.176985691603367e-05 
-2.633697552017614e-01, -8.420575805630052e-05 
-2.637172820612591e-01, -9.731308108911698e-05 
-2.640648089207568e-01, -1.130087841714726e-04 
-2.644540390033943e-01, -1.333210340553960e-04 
-2.648710712347916e-01, -1.547050567740105e-04 
-2.653020045405687e-01, -1.771552918975640e-04 
-2.657607399951057e-01, -2.007315140458901e-04 
-2.662472775984026e-01, -2.349420580948469e-04 
-2.667616173504592e-01, -2.690413935487644e-04 
-2.673037592512757e-01, -3.047671547051313e-04 
-2.678598022264721e-01, -3.421332426383274e-04 
-2.684575484248082e-01, -3.924829340423589e-04 
-2.690691956975242e-01, -4.439864146199228e-04 
-2.697225461933799e-01, -4.977696713957917e-04 
-2.703897977636155e-01, -5.539022097418655e-04 
-2.710987525569910e-01, -6.254927427983984e-04 
-2.718494105735061e-01, -7.002527208135505e-04 
-2.726139696644010e-01, -7.781682427129421e-04 
-2.734202319784358e-01, -8.592671106453329e-04 
-2.742403953668505e-01, -9.582983645278066e-04 
-2.751161630527847e-01, -1.063890925517598e-03 
-2.760197328874788e-01, -1.173681610970121e-03 
-2.769650059453126e-01, -1.287726025182897e-03 
-2.779102790031465e-01, -1.421801887577122e-03 
-2.789389585072598e-01, -1.568180200797567e-03 
-2.800093412345128e-01, -1.720118943769975e-03 
-2.810936250361457e-01, -1.877618116494348e-03 
-2.822196120609184e-01, -2.040816729714482e-03 
-2.834012033832107e-01, -2.256422393346876e-03 
-2.846383990030226e-01, -2.463965433838921e-03 
-2.859033967715943e-01, -2.678876043752319e-03 
-2.872100977633058e-01, -2.901154223087068e-03 
-2.885863041269168e-01, -3.186126247875209e-03 
-2.900459169368073e-01, -3.468874100762564e-03 
-2.915472329698375e-01, -3.761352705715855e-03 
-2.930902522260074e-01, -4.063562062735083e-03 
