rs=4.8, 
Re fxc, Im fxc 
-7.569510328868863e+00, 0.000000000000000e+00 
-7.570511206224217e+00, -1.196348702854001e-03 
-7.572262741596085e+00, -2.246719443429699e-03 
-7.574764934984469e+00, -3.121736471347468e-03 
-7.578142896058788e+00, -3.377961074317956e-03 
-7.582771953827297e+00, -1.449270410551822e-03 
-7.592155179033736e+00, -1.058190094914397e-03 
-7.601663513909594e+00, -1.307396045430468e-03 
-7.612422945479643e+00, -1.692108278894458e-03 
-7.624683693082723e+00, -2.142753308142357e-03 
-7.638195537379994e+00, -2.698990898380047e-03 
-7.653458917049135e+00, -3.434260425556589e-03 
-7.669973393412469e+00, -4.214068995046360e-03 
-7.688239405147669e+00, -5.316660511637625e-03 
-7.708006732915900e+00, -6.495068487896915e-03 
-7.729150267047741e+00, -7.942462253407450e-03 
-7.752170446220871e+00, -9.629441035855722e-03 
-7.776316612418774e+00, -1.148269056896209e-02 
-7.802714752666221e+00, -1.380209873032433e-02 
-7.830614208946700e+00, -1.624549057408099e-02 
-7.859889871590789e+00, -1.922184960956336e-02 
-7.891417508284423e+00, -2.247344991776794e-02 
-7.923946022333411e+00, -2.611539239456038e-02 
-7.959101839440201e+00, -3.034159702754040e-02 
-7.995758972580022e+00, -3.477298151836788e-02 
-8.034042531422292e+00, -4.012767536950894e-02 
-8.074703173983528e+00, -4.576887036361993e-02 
-8.116489803569534e+00, -5.212569266680864e-02 
-8.161028845882763e+00, -5.917061815180287e-02 
-8.207319423567862e+00, -6.652706671365087e-02 
-8.255236426955408e+00, -7.528099028291114e-02 
-8.305780733400759e+00, -8.429138867448074e-02 
-8.357451026870882e+00, -9.442276970404621e-02 
-8.412499281415322e+00, -1.052960510732675e-01 
-8.468173084306859e+00, -1.169412591028051e-01 
-8.527850396619810e+00, -1.299013697579383e-01 
-8.589404353974048e+00, -1.433756811543844e-01 
-8.652334517691896e+00, -1.585014401871637e-01 
-8.718892861822903e+00, -1.743903682034000e-01 
-8.786201863970424e+00, -1.914928600130024e-01 
-8.858265033555874e+00, -2.100716459217511e-01 
-8.932455067521449e+00, -2.293260240453635e-01 
-9.008271527189473e+00, -2.508824200862888e-01 
-9.088591934956591e+00, -2.732395180114969e-01 
-9.169537891070803e+00, -2.973606622755155e-01 
-9.256864440325392e+00, -3.231582761097511e-01 
-9.346693182968366e+00, -3.498441685968630e-01 
-9.439399448007981e+00, -3.797578905549898e-01 
-9.538110977179716e+00, -4.104973363312832e-01 
-9.639950248086933e+00, -4.448399405868491e-01 
-9.753299608580713e+00, -4.825229730159072e-01 
-9.863771446677852e+00, -5.217323434118794e-01 
-9.984752497006202e+00, -5.816098311959006e-01 
-1.010886128907003e+01, -6.435266065914544e-01 
-1.022458773328278e+01, -7.086837224249654e-01 
-1.034394235790868e+01, -7.836244144070562e-01 
-1.046229610517923e+01, -8.580771786784124e-01 
-1.058102518145803e+01, -9.413501746438211e-01 
-1.070238156079464e+01, -1.027300517534800e+00 
-1.082061019839577e+01, -1.115540367376150e+00 
-1.094296745508773e+01, -1.209797992316563e+00 
-1.106357317640782e+01, -1.305519400389181e+00 
-1.118680620078572e+01, -1.407108451957558e+00 
-1.131254141855200e+01, -1.511700135591995e+00 
-1.143627488160757e+01, -1.620045109309008e+00 
-1.156513784110933e+01, -1.733269360133369e+00 
-1.168924663317316e+01, -1.849621352693210e+00 
-1.182073689573272e+01, -1.971102841699237e+00 
-1.194922452622622e+01, -2.095461853101906e+00 
-1.208697027225674e+01, -2.226827005992048e+00 
-1.222721821167565e+01, -2.361695229625928e+00 
-1.236046000960708e+01, -2.501192511028318e+00 
-1.250383569076146e+01, -2.646319727554571e+00 
-1.264108099811431e+01, -2.796201111518753e+00 
-1.279371479480571e+01, -2.955340611019954e+00 
-1.294885078488550e+01, -3.118608729611989e+00 
-1.309397800141175e+01, -3.285254809278341e+00 
-1.325161618487992e+01, -3.456780166052042e+00 
-1.339924559479456e+01, -3.633810348280186e+00 
-1.355438158487435e+01, -3.816470465632195e+00 
-1.372077744520186e+01, -4.007638040504707e+00 
-1.388842440222357e+01, -4.196928970335931e+00 
-1.406858232618719e+01, -4.395102686695918e+00 
-1.425249354023339e+01, -4.589272893634491e+00 
-1.445016681791570e+01, -4.797580493217432e+00 
-1.466160215923412e+01, -4.995128661230323e+00 
-1.489055285427123e+01, -5.204186918829779e+00 
-1.514327438649798e+01, -5.415997589156457e+00 
-1.541851565922018e+01, -5.622928982375787e+00 
-1.573003873607395e+01, -5.844247987578322e+00 
-1.608785239061282e+01, -6.051429600136490e+00 
-1.649821210630774e+01, -6.273624373024959e+00 
-1.698864201043094e+01, -6.498571558640651e+00 
-1.757540636000691e+01, -6.707004267893011e+00 
-1.829979134594398e+01, -6.933577879211154e+00 
-1.923060728642271e+01, -7.147390304248538e+00 
-2.045793314342490e+01, -7.383972689120213e+00 
-2.218694877479802e+01, -7.598285552835276e+00 
-2.483927376648471e+01, -7.815601048616398e+00 
-2.958593462424853e+01, -8.162405052246374e+00 
-4.124115142733967e+01, -1.500064936336011e+01 
-3.573382377950721e+01, -3.700744021419450e+01 
-1.821096348065636e+01, -4.535600845453662e+01 
-3.466163391258481e+00, -3.823726826458507e+01 
6.226082698645670e-01, -2.954589953003439e+01 
1.032905430724780e+00, -2.478422551194027e+01 
7.049179213754478e-01, -2.186666802108491e+01 
9.705632824532003e-01, -1.982112492608125e+01 
3.439014592994518e-03, -1.947832443187269e+01 
4.053052850503871e-01, -1.775306209058215e+01 
-2.978736119201342e-01, -1.685352356745822e+01 
-3.909552059680067e-01, -1.663207945258626e+01 
-2.143629075828291e-01, -1.572503434929718e+01 
-3.956092856704004e-01, -1.597525368813555e+01 
-4.933574703876085e-01, -1.572628544599137e+01 
-1.797450620545410e-01, -1.524961760550429e+01 
-3.756292714641568e-01, -1.507821735840001e+01 
-5.892039881296450e-01, -1.500440265344269e+01 
-4.673346591484183e-01, -1.496061426914597e+01 
-8.078331354396683e-02, -1.476794537824043e+01 
-6.781069192189168e-02, -1.469413067328311e+01 
-4.067065133478819e-03, -1.465409557906897e+01 
1.464158461212705e-01, -1.464283570882125e+01 
3.962973888522059e-01, -1.459779622783034e+01 
5.053679986518501e-01, -1.437760320965257e+01 
6.396482068394598e-01, -1.427876657081142e+01 
8.119742654974433e-01, -1.420870515593668e+01 
9.704256618168392e-01, -1.411862619395487e+01 
1.171501922507351e+00, -1.399101433114730e+01 
1.331291992289532e+00, -1.387090904850488e+01 
1.523585554186818e+00, -1.374579937908570e+01 
1.710749619637916e+00, -1.362068970966651e+01 
1.878521686329041e+00, -1.349307784685895e+01 
2.066186190457817e+00, -1.335545721049784e+01 
2.224199702934246e+00, -1.322033876752513e+01 
2.411613987724182e+00, -1.307145826091630e+01 
2.557241642928112e+00, -1.293133543116681e+01 
