rs=2.8, 
Re fxc, Im fxc 
-1.442085292731707e+00, 0.000000000000000e+00 
-1.442255580892861e+00, -1.834173783788536e-04 
-1.442468441094303e+00, -3.551274456783773e-04 
-1.442766445376322e+00, -5.238489557496504e-04 
-1.443234737819496e+00, -6.591003277461265e-04 
-1.443745602302957e+00, -7.131242468721976e-04 
-1.444341610866996e+00, -5.431340900003282e-04 
-1.445618772075650e+00, -1.634510914835601e-04 
-1.447066221445458e+00, -2.014806950732523e-04 
-1.448556242855555e+00, -2.412046658664257e-04 
-1.450259124467094e+00, -2.954073875617085e-04 
-1.452132294239787e+00, -3.652085048186875e-04 
-1.454175752173633e+00, -4.391731676158791e-04 
-1.456389498268634e+00, -5.301496177123442e-04 
-1.458816104565076e+00, -6.479464531905468e-04 
-1.461412999022673e+00, -7.724270989940394e-04 
-1.464180181641424e+00, -9.150434339604212e-04 
-1.467202796501905e+00, -1.099465512490083e-03 
-1.470438271563829e+00, -1.293849448447247e-03 
-1.473801462746619e+00, -1.498322957952779e-03 
-1.477420086171139e+00, -1.779085563655253e-03 
-1.481251569797101e+00, -2.066446835602440e-03 
-1.485253341584218e+00, -2.368027169005977e-03 
-1.489510545613065e+00, -2.757348477444055e-03 
-1.494023181883643e+00, -3.165358911568772e-03 
-1.498706106315375e+00, -3.592526763823303e-03 
-1.503601890948549e+00, -4.118291461385934e-03 
-1.508795679863743e+00, -4.680370109314633e-03 
-1.514202328980379e+00, -5.267864265295549e-03 
-1.519821838298457e+00, -5.962639962803414e-03 
-1.525781923938843e+00, -6.720422279938220e-03 
-1.531954869780672e+00, -7.510133627289379e-03 
-1.538298103783654e+00, -8.413512322210758e-03 
-1.545109630229810e+00, -9.416935311810048e-03 
-1.552091444837119e+00, -1.046122746008627e-02 
-1.559243547605582e+00, -1.161833551512695e-02 
-1.566906514857507e+00, -1.291933706634265e-02 
-1.574782342310875e+00, -1.427185078630742e-02 
-1.582913602005973e+00, -1.567630239542411e-02 
-1.591342865983091e+00, -1.738471837220050e-02 
-1.600197850363093e+00, -1.910164875703459e-02 
-1.609350839025114e+00, -2.088286292270426e-02 
-1.618716687888578e+00, -2.298166450892594e-02 
-1.628678545316081e+00, -2.512729533946494e-02 
-1.638895834985314e+00, -2.734998156292607e-02 
-1.649325984855990e+00, -2.990260109862286e-02 
-1.660565003492146e+00, -3.255483920859469e-02 
-1.672059454370034e+00, -3.529860720518672e-02 
-1.683766765449363e+00, -3.840551470543941e-02 
-1.696708665697059e+00, -4.174656842727871e-02 
-1.709991142267063e+00, -4.519873517427092e-02 
-1.723060758635623e+00, -4.909833406469497e-02 
-1.737875828656012e+00, -5.427509416377319e-02 
-1.753116619079285e+00, -5.962639962803414e-02 
-1.768697985824865e+00, -6.515650766150669e-02 
-1.783640771966119e+00, -7.217663710507576e-02 
-1.799690431154873e+00, -7.978426070462573e-02 
-1.816165810746512e+00, -8.763880213784885e-02 
-1.831874893612958e+00, -9.630646954058178e-02 
-1.848307701164309e+00, -1.059703226860650e-01 
-1.865123657078255e+00, -1.159406945216252e-01 
-1.881343604428163e+00, -1.263367867600701e-01 
-1.897989272180956e+00, -1.376992643130633e-01 
-1.914975516256056e+00, -1.494065753923932e-01 
-1.931706328089426e+00, -1.614374339779154e-01 
-1.948692572164526e+00, -1.741622168201397e-01 
-1.966019392561934e+00, -1.872573764128738e-01 
-1.982963064596746e+00, -2.008676576930983e-01 
-2.000545317235885e+00, -2.149802890487269e-01 
-2.018681006398774e+00, -2.294888403790382e-01 
-2.036092970876759e+00, -2.448232892909459e-01 
-2.054484092281379e+00, -2.602088246511997e-01 
-2.072832641645711e+00, -2.758157346209536e-01 
-2.091734627533793e+00, -2.921804269078423e-01 
-2.110338609139855e+00, -3.094731896730197e-01 
-2.130092035833706e+00, -3.268894113550337e-01 
-2.150441471091595e+00, -3.446930386036728e-01 
-2.170620618188332e+00, -3.635354236353505e-01 
-2.192204642614587e+00, -3.826119548886149e-01 
-2.214469819685458e+00, -4.020631200964179e-01 
-2.236436992474309e+00, -4.227573888806442e-01 
-2.260277335035854e+00, -4.441966683699188e-01 
-2.285224550644898e+00, -4.660786970781935e-01 
-2.309746045851059e+00, -4.873647172224296e-01 
-2.336864435514815e+00, -5.103536189782046e-01 
-2.365643134749822e+00, -5.334702368548451e-01 
-2.394506978065407e+00, -5.562462784091776e-01 
-2.426350864201184e+00, -5.819172187031264e-01 
-2.460919360915423e+00, -6.079287353193829e-01 
-2.498042180046971e+00, -6.322373703241004e-01 
-2.538570762401597e+00, -6.601220567130498e-01 
-2.584250561631127e+00, -6.884324635048837e-01 
-2.636273594863640e+00, -7.171685906996025e-01 
-2.694001281494808e+00, -7.419880901877818e-01 
-2.762329406157806e+00, -7.707667894227890e-01 
-2.845046880438308e+00, -7.999712090606809e-01 
-2.948156362016987e+00, -8.281538997316495e-01 
-3.082811725449425e+00, -8.581671881350225e-01 
-3.272938457377742e+00, -8.884359087801260e-01 
-3.580691736623107e+00, -9.456953029681212e-01 
-4.196836875718166e+00, -1.356004627268416e+00 
-4.009775330690618e+00, -2.356234713846070e+00 
-3.513938777450783e+00, -2.758668210692998e+00 
-3.112058717127606e+00, -2.916355047921499e+00 
-2.792087262319449e+00, -2.972422424981417e+00 
-2.527416887846017e+00, -2.989195808855075e+00 
-2.266620569038836e+00, -2.954840172342278e+00 
-2.041499619993395e+00, -2.981362553441996e+00 
-1.931791472170002e+00, -3.032747006070182e+00 
-1.678062112050708e+00, -2.936534195018234e+00 
-1.570184561959720e+00, -2.985577185430555e+00 
-1.355791767066974e+00, -2.874293872116488e+00 
-1.275245466841184e+00, -2.914779882430826e+00 
-1.077072619298346e+00, -2.764883728575115e+00 
-1.043568423591319e+00, -2.846153753485808e+00 
-8.531436873809827e-01, -2.715415017759910e+00 
-7.876253173770240e-01, -2.606813742984018e+00 
-7.782168964732715e-01, -2.656325025839510e+00 
-6.176777325454430e-01, -2.532099812277749e+00 
-5.686347421331230e-01, -2.454448410791576e+00 
-5.556928418854276e-01, -2.442826243792823e+00 
-5.077141524803194e-01, -2.388504320384732e+00 
-4.124506979268051e-01, -2.316174423934618e+00 
-4.044428971485435e-01, -2.263214805815759e+00 
-3.925440118879155e-01, -2.251379778615563e+00 
-3.811389622946338e-01, -2.221196202051037e+00 
-3.404698922070564e-01, -2.192076926493721e+00 
-2.998476513637962e-01, -2.123663657750147e+00 
-2.944282306350737e-01, -2.087221991263215e+00 
-2.872888994786969e-01, -2.054611808402245e+00 
-2.704559147486350e-01, -2.020554176171467e+00 
-2.540699364416020e-01, -1.994925807917807e+00 
-2.342483944832894e-01, -1.968403426818089e+00 
-2.175601546902083e-01, -1.936559540682312e+00 
-2.085731969853118e-01, -1.908206561850189e+00 
-1.951459754783277e-01, -1.881854468911625e+00 
-1.819358713768147e-01, -1.857758694108349e+00 
-1.734427493392645e-01, -1.835365800916613e+00 
-1.605093634996267e-01, -1.812632331402569e+00 
-1.476526073325081e-01, -1.791218595137467e+00 
-1.403004159746890e-01, -1.771720600685347e+00 
-1.273500013189357e-01, -1.751073161145438e+00 
-1.150424244715384e-01, -1.731532594653029e+00 
-1.085672171436618e-01, -1.714290918336198e+00 
-9.608083772705288e-02, -1.695261216327251e+00 
-8.409255118181912e-02, -1.677040383083785e+00 
-7.259810030393161e-02, -1.659628418605800e+00 
-6.604200609950690e-02, -1.643876763699065e+00 
-5.424103653154242e-02, -1.626677659422522e+00 
-4.286578736646265e-02, -1.610202279830884e+00 
-3.695295669079674e-02, -1.595940646334245e+00 
-2.522308243011400e-02, -1.579422694702318e+00 
-1.408240520702372e-02, -1.563543323674718e+00 
-8.819223866159898e-03, -1.550601423427022e+00 
2.627035462121042e-03, -1.534466620157692e+00 
1.345021040873990e-02, -1.518927825452399e+00 
1.723188474756489e-02, -1.507220514373069e+00 
2.323071094461351e-02, -1.495555775334028e+00 
3.202992595183782e-02, -1.482273298764025e+00 
4.272955683753954e-02, -1.468820534032867e+00 
5.037123806932030e-02, -1.454771760737672e+00 
5.797886166887027e-02, -1.440212122959014e+00 
6.554817043216063e-02, -1.425226764777472e+00 
7.671907380385573e-02, -1.413264021456411e+00 
8.362000153461707e-02, -1.400236977128139e+00 
9.046984281703224e-02, -1.386784212396982e+00 
1.015556021081504e-01, -1.373501735826978e+00 
1.084607870429406e-01, -1.360432119458417e+00 
1.153148855293846e-01, -1.346936782686972e+00 
1.254853459543006e-01, -1.333484017955815e+00 
1.318158083451964e-01, -1.320840121990138e+00 
1.380866698796884e-01, -1.307813077661865e+00 
1.474014322948061e-01, -1.294658317212728e+00 
1.534509192197980e-01, -1.282056993287340e+00 
1.594365480843572e-01, -1.269029948959068e+00 
1.687044812551576e-01, -1.256130620751660e+00 
1.739663854348127e-01, -1.243742157027715e+00 
1.791559171459775e-01, -1.231055689021750e+00 
1.880407019541817e-01, -1.217858356532324e+00 
1.929194577712406e-01, -1.205938185251552e+00 
1.977130695077225e-01, -1.193677437648472e+00 
2.024257943676564e-01, -1.181076113723084e+00 
2.105953688990142e-01, -1.168645077958850e+00 
2.149334598044095e-01, -1.156597190557212e+00 
2.191821494251991e-01, -1.144166154792978e+00 
2.267557153925183e-01, -1.131607402907879e+00 
2.306255138547404e-01, -1.119857519788261e+00 
2.343973966242990e-01, -1.107809632386623e+00 
2.414047544557816e-01, -1.095250880501524e+00 
2.448275464949747e-01, -1.083756429623637e+00 
2.481524228415044e-01, -1.071921402423441e+00 
2.547127742499580e-01, -1.059362650538342e+00 
2.576289590097183e-01, -1.048166203942474e+00 
2.604387136687575e-01, -1.036714325104875e+00 
2.665265154300089e-01, -1.024070429139199e+00 
2.690467802150865e-01, -1.013299702946215e+00 
2.714606148994429e-01, -1.002188400430924e+00 
2.770801242175213e-01, -9.895019324249591e-01 
2.792342694561179e-01, -9.790292105139949e-01 
2.812734701859358e-01, -9.682584843210115e-01 
-1.447364225727477e+00, 0.000000000000000e+00 
-1.447577085928920e+00, -2.250613481890371e-04 
-1.447875090210939e+00, -5.032440882500297e-04 
-1.448258238573535e+00, -8.311765145921310e-04 
-1.448811675097285e+00, -1.182395846972027e-03 
-1.449407683661324e+00, -1.535445777084326e-03 
-1.450088836305940e+00, -1.868444276220756e-03 
-1.450897705071421e+00, -2.173089796525063e-03 
-1.451791717917479e+00, -2.430991216592627e-03 
-1.452770874844113e+00, -2.607367179507768e-03 
-1.453877747891614e+00, -2.673779562357784e-03 
-1.455112337059979e+00, -2.551299802447850e-03 
-1.456730074590941e+00, -2.259298178109219e-03 
-1.458347812121903e+00, -1.865549377481140e-03 
-1.460774418418346e+00, -6.017557894775543e-04 
-1.464052465520558e+00, -7.322390929617216e-04 
-1.467032508340752e+00, -8.743019914043533e-04 
-1.470182839322098e+00, -1.055914315274976e-03 
-1.473460886424311e+00, -1.247147920250793e-03 
-1.476866649647389e+00, -1.448300810613824e-03 
-1.480485273071909e+00, -1.723103330675912e-03 
-1.484316756697871e+00, -2.004972809425886e-03 
-1.488318528484988e+00, -2.301018777591922e-03 
-1.492533160473547e+00, -2.682123682254325e-03 
-1.497003224703836e+00, -3.082215716885387e-03 
-1.501686149135568e+00, -3.501380025565684e-03 
-1.506539361728454e+00, -4.016161136733889e-03 
-1.511690578603359e+00, -4.567128482147296e-03 
-1.517054655679706e+00, -5.143553907653210e-03 
-1.522631592957496e+00, -5.824280831865879e-03 
-1.528549106557594e+00, -6.567162934899720e-03 
-1.534636908318846e+00, -7.341548347747029e-03 
-1.540937570281539e+00, -8.226621065344365e-03 
-1.547663952647118e+00, -9.210035196008073e-03 
-1.554603195214139e+00, -1.023431848534871e-02 
-1.561627581861737e+00, -1.136758619782785e-02 
-1.569247977073373e+00, -1.264261880446759e-02 
-1.577038660446164e+00, -1.396831213905061e-02 
-1.585127348100974e+00, -1.534551764238268e-02 
-1.593428895957226e+00, -1.701859882571964e-02 
-1.602241308296939e+00, -1.870189729872583e-02 
-1.611266580838095e+00, -2.044777667095608e-02 
-1.620547285620982e+00, -2.250315477608351e-02 
-1.630381426927619e+00, -2.460578784593116e-02 
-1.640513572516276e+00, -2.678377342708939e-02 
-1.650858578306375e+00, -2.928360363282848e-02 
-1.662012452861954e+00, -3.188262669243971e-02 
-1.673421759659265e+00, -3.457190247746249e-02 
-1.685001354617729e+00, -3.761665479889403e-02 
-1.697858110784848e+00, -4.089981054594100e-02 
-1.711098015314563e+00, -4.429195071612647e-02 
-1.724082487602547e+00, -4.812769154611781e-02 
-1.738812413542358e+00, -5.328742282908064e-02 
-1.753925487844766e+00, -5.862595668125505e-02 
-1.769464282550058e+00, -6.413903589861220e-02 
-1.784279352570446e+00, -7.113362211800818e-02 
-1.800201295638335e+00, -7.873698851352932e-02 
-1.816548959109108e+00, -8.659152994675243e-02 
-1.832087753814401e+00, -9.523791132934113e-02 
-1.848350273204597e+00, -1.048762212506512e-01 
-1.864995940957390e+00, -1.148210498620383e-01 
-1.881088172186432e+00, -1.252043704883967e-01 
-1.897563551778071e+00, -1.365285332051303e-01 
-1.914379507692018e+00, -1.482017866522294e-01 
-1.930897459323945e+00, -1.601815587894055e-01 
-1.947713415237891e+00, -1.728552551832836e-01 
-1.964827375433857e+00, -1.858993283276715e-01 
-1.981600759307515e+00, -1.995053524038672e-01 
-1.998970151745212e+00, -2.136435269836688e-01 
-2.016765264585793e+00, -2.281733643341244e-01 
-2.034049512942913e+00, -2.433886115332244e-01 
-2.052185202105802e+00, -2.587656324854205e-01 
-2.070448607389556e+00, -2.744491721276937e-01 
-2.089265449197061e+00, -2.906606050695439e-01 
-2.107443710400239e+00, -3.081960284643656e-01 
-2.126856560771782e+00, -3.255611636980333e-01 
-2.146865419707364e+00, -3.434073629869609e-01 
-2.166746562522080e+00, -3.623391493032445e-01 
-2.187904866545451e+00, -3.815433966773742e-01 
-2.209701751173149e+00, -4.011137635979850e-01 
-2.231243203559116e+00, -4.217143738935766e-01 
-2.254572681637199e+00, -4.433877996044379e-01 
-2.278966460722493e+00, -4.653975444335779e-01 
-2.302806803284037e+00, -4.869815688598334e-01 
-2.328988608061448e+00, -5.105239071393585e-01 
-2.356788150369820e+00, -5.343216776606144e-01 
-2.384843124919923e+00, -5.574382955372549e-01 
-2.415452421887335e+00, -5.835349562340882e-01 
-2.448658613312344e+00, -6.099721932532295e-01 
-2.484206266953218e+00, -6.347065486608319e-01 
-2.522563675253131e+00, -6.629743834123775e-01 
-2.565774296145930e+00, -6.916679385668076e-01 
-2.614902430638828e+00, -7.206594980032572e-01 
-2.669522358328937e+00, -7.466284425792252e-01 
-2.733635851003376e+00, -7.760457224185595e-01 
-2.810861532086665e+00, -8.059312947010671e-01 
-2.906861482937170e+00, -8.347525659763627e-01 
-3.030958980378066e+00, -8.654895790646396e-01 
-3.204567760674455e+00, -8.966523125558012e-01 
-3.478263407689044e+00, -9.412678107781201e-01 
-4.030891062673700e+00, -1.210493393562418e+00 
-3.981933216341957e+00, -2.274453824451915e+00 
-3.503338339418953e+00, -2.678505058829805e+00 
-3.108908386146259e+00, -2.835510743413690e+00 
-2.788809215217236e+00, -2.908138644145823e+00 
-2.523074539736593e+00, -2.936959915421120e+00 
-2.283010804549898e+00, -2.936236190736215e+00 
-2.068362577415421e+00, -2.939173661516120e+00 
-1.882535621556240e+00, -2.973188721706609e+00 
-1.699220416074079e+00, -2.911884983691209e+00 
-1.535573493205192e+00, -2.911374119207748e+00 
-1.384996186704866e+00, -2.837554201347537e+00 
-1.253959446696948e+00, -2.836702760541767e+00 
-1.126583902153840e+00, -2.748876641426649e+00 
-1.028199917047180e+00, -2.725334303147124e+00 
-9.244944269044620e-01, -2.663902849010859e+00 
-8.536545518644444e-01, -2.577055886822376e+00 
-7.722568108328856e-01, -2.532270100438903e+00 
-7.035455378072913e-01, -2.517114454096207e+00 
-6.466692919818926e-01, -2.455853288121095e+00 
-6.084821718431330e-01, -2.395060414589157e+00 
-5.513504937760032e-01, -2.342441372792605e+00 
-5.176334378675334e-01, -2.301018777591922e+00 
-4.825115046295438e-01, -2.273304379364126e+00 
-4.561168396506910e-01, -2.240140759979407e+00 
-4.278915769394340e-01, -2.197185571328338e+00 
-3.953111945066662e-01, -2.154613531039866e+00 
-3.675329382184381e-01, -2.124004234072455e+00 
-3.488480697358277e-01, -2.089010016955331e+00 
-3.251865297434948e-01, -2.056101829812341e+00 
-3.042581147376819e-01, -2.023661935112525e+00 
-2.893195858004570e-01, -1.991690332855883e+00 
-2.721630535642027e-01, -1.962230480976260e+00 
-2.557132171967371e-01, -1.934473510708176e+00 
-2.432566382083301e-01, -1.907908557568170e+00 
-2.273772671807300e-01, -1.881301032387874e+00 
-2.125409111401974e-01, -1.856438960859407e+00 
-2.029068584229162e-01, -1.832896622579882e+00 
-1.889304575962107e-01, -1.809652288582376e+00 
-1.753159191119573e-01, -1.787727687833813e+00 
-1.670782293161380e-01, -1.767761400938519e+00 
-1.533402319150480e-01, -1.746645668955437e+00 
-1.401514138336793e-01, -1.726296233697547e+00 
-1.334165170600430e-01, -1.708458548816677e+00 
-1.206108473412705e-01, -1.688619978042249e+00 
-1.081968403931521e-01, -1.669760564194456e+00 
-9.675773316763960e-02, -1.652008023394163e+00 
-9.032935508408030e-02, -1.636043508285986e+00 
-7.827295327438497e-02, -1.618546399727424e+00 
-6.668910111189168e-02, -1.601773015853766e+00 
-6.141868252417883e-02, -1.587596526437705e+00 
-4.949425403937777e-02, -1.570737998483470e+00 
-3.778098287440753e-02, -1.554603195214139e+00 
-3.353229325361800e-02, -1.542001871288751e+00 
-2.162148782170925e-02, -1.525526491697112e+00 
-1.033436278002662e-02, -1.509689692709801e+00 
-8.385414775620367e-03, -1.498706106315375e+00 
-9.559977367179314e-03, -1.489978838056238e+00 
-5.249984008374391e-03, -1.476142924962485e+00 
1.775594656351598e-02, -1.462519872070174e+00 
2.562496249043718e-02, -1.450982849151998e+00 
3.346673231157376e-02, -1.439020105830937e+00 
4.128125602692571e-02, -1.426631642106992e+00 
5.277655834561897e-02, -1.405132761761313e+00 
6.095890448906333e-02, -1.392276005594195e+00 
6.911996461236344e-02, -1.378950956983902e+00 
7.335588262106643e-02, -1.364178459003803e+00 
8.035046884046240e-02, -1.350299973869761e+00 
8.729822581554107e-02, -1.335995768332834e+00 
9.575729022086049e-02, -1.328290229040621e+00 
1.009212787078522e-01, -1.315646333074944e+00 
1.060086375223246e-01, -1.302619288746672e+00 
1.194656594575107e-01, -1.290741689506188e+00 
1.252554569367429e-01, -1.279332382708878e+00 
1.309813963555424e-01, -1.267582499589260e+00 
1.409560253951314e-01, -1.251958560803390e+00 
1.467671088945079e-01, -1.240123533603195e+00 
1.525143343334516e-01, -1.227990502120980e+00 
1.592747743312610e-01, -1.214069444946650e+00 
1.643919335739353e-01, -1.202149273665878e+00 
1.694324631440905e-01, -1.189888526062798e+00 
1.743963630417263e-01, -1.177244630097121e+00 
1.809354284300356e-01, -1.166771908186157e+00 
1.851074883783059e-01, -1.154809164865097e+00 
1.891901470419704e-01, -1.142548417262017e+00 
1.978833576688764e-01, -1.131607402907879e+00 
2.016169256021754e-01, -1.120368384271723e+00 
2.052483206387821e-01, -1.108831361353547e+00 
2.134647244144572e-01, -1.095974605186428e+00 
2.171386914913524e-01, -1.085033590832291e+00 
2.207190000796129e-01, -1.073752000155846e+00 
2.269898616141049e-01, -1.060512095626131e+00 
2.302636515122884e-01, -1.049613653312282e+00 
2.334437829218373e-01, -1.038374634676125e+00 
2.387823167740117e-01, -1.026156459113334e+00 
2.415111845565028e-01, -1.015470877000927e+00 
2.441293650342438e-01, -1.004487290606501e+00 
2.497829319845529e-01, -9.927799795271715e-01 
2.520264785077554e-01, -9.824775457773612e-01 
2.541593377262078e-01, -9.718771077455316e-01 
-1.455793489704595e+00, 0.000000000000000e+00 
-1.456006349906037e+00, -2.497275883321778e-04 
-1.456389498268634e+00, -5.955402715954374e-04 
-1.456857790711807e+00, -1.026028742992468e-03 
-1.457496371316134e+00, -1.510413417394705e-03 
-1.458177523960749e+00, -2.026939982214738e-03 
-1.458943820685942e+00, -2.554833281791793e-03 
-1.459837833532000e+00, -3.089793540056735e-03 
-1.460816990458635e+00, -3.623263776911580e-03 
-1.461881291465846e+00, -4.133149103446611e-03 
-1.463030736553635e+00, -4.617789210090578e-03 
-1.464350469802578e+00, -5.074587202385884e-03 
-1.465712775091809e+00, -5.469655736262907e-03 
-1.467160224461617e+00, -5.794054683261065e-03 
-1.468820534032867e+00, -6.041823957739973e-03 
-1.470565987684695e+00, -6.143996854432306e-03 
-1.472481729497676e+00, -6.007340605106310e-03 
-1.474993479874696e+00, -6.154214144101540e-03 
-1.477249798009985e+00, -6.220200806548671e-03 
-1.479548688185562e+00, -6.006489164300541e-03 
-1.482103010602871e+00, -5.483704509558102e-03 
-1.484955337302198e+00, -4.367891333597247e-03 
-1.489553117653353e+00, -2.096630412166967e-03 
-1.494959766769989e+00, -2.492380098688604e-03 
-1.499898123443452e+00, -2.889704950700915e-03 
-1.504793908076626e+00, -3.301844872733615e-03 
-1.509817408830666e+00, -3.802917786928932e-03 
-1.515053769786148e+00, -4.338516625798200e-03 
-1.520460418902784e+00, -4.898338955591611e-03 
