rs=2.0, 
Re fxc, Im fxc 
-5.153606122064183e-01, 0.000000000000000e+00 
-5.154040530638554e-01, -5.876244785532278e-05 
-5.154909347787299e-01, -1.148228743780507e-04 
-5.155778164936042e-01, -1.734723760040367e-04 
-5.156864186371973e-01, -2.257838565299329e-04 
-5.158384616382276e-01, -2.657494453721721e-04 
-5.160122250679764e-01, -2.777825628822811e-04 
-5.162077089264440e-01, -2.263268672478981e-04 
-5.165769562146603e-01, -5.619074909503957e-05 
-5.170765260751883e-01, -6.896018913870936e-05 
-5.175543755069976e-01, -8.208150012762062e-05 
-5.180756657962442e-01, -9.587614440680872e-05 
-5.186621173716467e-01, -1.166886592049792e-04 
-5.192920098044863e-01, -1.405594103667296e-04 
-5.199653430947632e-01, -1.657876883233931e-04 
-5.206821172424771e-01, -1.924017296323038e-04 
-5.214640526763471e-01, -2.329298775783550e-04 
-5.223111493963728e-01, -2.746765415755201e-04 
-5.231799665451171e-01, -3.186169688732646e-04 
-5.241139449800173e-01, -3.708545999415175e-04 
-5.251348051297919e-01, -4.351036280911607e-04 
-5.261991061370037e-01, -5.025890001198766e-04 
-5.273068480016527e-01, -5.733975977425395e-04 
-5.284797511524576e-01, -6.617128609124007e-04 
-5.297395360181368e-01, -7.601064030076961e-04 
-5.310427617412534e-01, -8.631481168487737e-04 
-5.323894283218070e-01, -9.708814432930706e-04 
-5.338229766172352e-01, -1.109696703233696e-03 
-5.353216861988193e-01, -1.254115833783722e-03 
-5.369072774952776e-01, -1.404877329519582e-03 
-5.385145892204546e-01, -1.562111513013587e-03 
-5.402305030892246e-01, -1.769737091134764e-03 
-5.420332986728691e-01, -1.975234067241517e-03 
-5.438795351139508e-01, -2.189202010548526e-03 
-5.457692124124698e-01, -2.437249306515033e-03 
-5.478109327120189e-01, -2.712447138379800e-03 
-5.499178142977240e-01, -2.998505184603870e-03 
-5.520898571695848e-01, -3.295640649474432e-03 
-5.543053408988827e-01, -3.652072884746793e-03 
-5.566945880579297e-01, -4.029356731589018e-03 
-5.591489965031324e-01, -4.420976061385525e-03 
-5.616685662344910e-01, -4.826930874136314e-03 
-5.642750176807241e-01, -5.325414713228374e-03 
-5.670335121279872e-01, -5.831500702371946e-03 
-5.698788882901249e-01, -6.355831851639149e-03 
-5.728111461671370e-01, -6.898408161029984e-03 
-5.758520061877422e-01, -7.578040375635236e-03 
-5.790883500668148e-01, -8.246160763019626e-03 
-5.824115756607618e-01, -8.937087600558556e-03 
-5.857130808259904e-01, -9.729883248787758e-03 
-5.894707149943096e-01, -1.067971759665250e-02 
-5.933586717349404e-01, -1.166169817902077e-02 
-5.973335101904457e-01, -1.267647660875415e-02 
-6.011997465023580e-01, -1.387739911260600e-02 
-6.054352301024867e-01, -1.542845492740182e-02 
-6.098010362749269e-01, -1.703142256683511e-02 
-6.142754445909602e-01, -1.868738805234180e-02 
-6.185978099059632e-01, -2.053036642911571e-02 
-6.231373795081523e-01, -2.269133188233005e-02 
-6.277855512539345e-01, -2.492419195460298e-02 
-6.325423251433097e-01, -2.722438535590360e-02 
-6.371904968890919e-01, -2.973309487290285e-02 
-6.420124320646230e-01, -3.243728824836958e-02 
-6.470298510986214e-01, -3.521967516722330e-02 
-6.519169475603084e-01, -3.807373950084842e-02 
-6.568692053081511e-01, -4.124492209376522e-02 
-6.619083447708681e-01, -4.457249177345601e-02 
-6.670778068058969e-01, -4.802821198258658e-02 
-6.722689892696443e-01, -5.153606122064183e-02 
-6.774384513046731e-01, -5.527197496024244e-02 
-6.827599563407321e-01, -5.912952310066727e-02 
-6.882335043778213e-01, -6.309132929894141e-02 
-6.937070524149106e-01, -6.713350108347442e-02 
-6.991806004519999e-01, -7.145803844134931e-02 
-7.048496323475567e-01, -7.589986611430471e-02 
-7.106924276728622e-01, -8.043509163075012e-02 
-7.165352229981680e-01, -8.511149993386646e-02 
-7.225517817532224e-01, -9.008547811042776e-02 
-7.288072652241816e-01, -9.517023047345395e-02 
-7.353016734110455e-01, -1.001572409072464e-01 
-7.417960815979093e-01, -1.054787459433054e-01 
-7.485945757868337e-01, -1.109305735516761e-01 
-7.557188764065372e-01, -1.165040355608710e-01 
-7.630386608847082e-01, -1.219906158551914e-01 
-7.706625313649397e-01, -1.278703359093187e-01 
-7.787425308482619e-01, -1.338847226215013e-01 
-7.873438206208307e-01, -1.400424641632268e-01 
-7.962926372528975e-01, -1.463479046202387e-01 
-8.059147871752409e-01, -1.531073020374696e-01 
-8.163623133888915e-01, -1.600296026700901e-01 
-8.277872588948795e-01, -1.670974301751252e-01 
-8.402113441219233e-01, -1.738785480210747e-01 
-8.541558593592699e-01, -1.811179669129868e-01 
-8.699683314664166e-01, -1.885050847201855e-01 
-8.883438141623593e-01, -1.957792562980474e-01 
-9.096298343065953e-01, -2.035899224652589e-01 
-9.356291874827694e-01, -2.115700079764756e-01 
-9.688614434222401e-01, -2.197021364887226e-01 
-1.014409182445162e+00, -2.276083725422959e-01 
-1.084761651064734e+00, -2.461358982392688e-01 
-1.213998201940453e+00, -3.346900861250347e-01 
-1.193016267798277e+00, -5.464642661314651e-01 
-1.099227456591327e+00, -6.489412488258589e-01 
-1.011476924568149e+00, -6.960094178590831e-01 
-9.383442410725955e-01, -7.206838248834221e-01 
-8.842386531345423e-01, -7.396892000122044e-01 
-8.230304850055041e-01, -7.327603832509683e-01 
-7.796547888544435e-01, -7.428821030338397e-01 
-7.428386621764026e-01, -7.396023182973298e-01 
-7.061962989281103e-01, -7.462053286277869e-01 
-6.720517849824582e-01, -7.359532862726037e-01 
-6.540672700034506e-01, -7.487683392165825e-01 
-6.077593159753777e-01, -7.323042542478775e-01 
-5.975507144776319e-01, -7.510489842320364e-01 
-5.738971676030675e-01, -7.477474790668079e-01 
-5.382539440758313e-01, -7.249410289122693e-01 
-5.258732997062245e-01, -7.542636076823904e-01 
-5.087576018759613e-01, -7.477257586380893e-01 
-4.673584647382940e-01, -7.243111364794297e-01 
-4.665330884469868e-01, -7.262876954928230e-01 
-4.607337339791184e-01, -7.510489842320364e-01 
-4.224406181482120e-01, -7.361053292736339e-01 
-3.982657809844011e-01, -7.116698469651996e-01 
-3.959416951115100e-01, -7.161442552812329e-01 
-3.889042762066809e-01, -7.468786619180636e-01 
-3.609718048745507e-01, -7.306969425227005e-01 
-3.209627751748743e-01, -7.079339332255991e-01 
-3.106672919622539e-01, -7.133423199765324e-01 
-3.029565397671480e-01, -7.132119974042208e-01 
-3.023918086204642e-01, -7.085203848010014e-01 
-2.853412720763567e-01, -7.060225354983615e-01 
-2.516963279912325e-01, -6.947713534221224e-01 
-2.542593385800283e-01, -6.842803863510346e-01 
-2.404451459149935e-01, -6.737676988512282e-01 
-2.279993402592309e-01, -6.732246881332631e-01 
-2.188550397686968e-01, -6.710309248326836e-01 
-2.069804813882337e-01, -6.629292049206427e-01 
-1.931880091519174e-01, -6.544365172916670e-01 
-1.854685687853241e-01, -6.444885609385442e-01 
-1.777947413190398e-01, -6.385371634696457e-01 
-1.703989353403537e-01, -6.316952284232840e-01 
-1.606551510171860e-01, -6.247012503758921e-01 
-1.524187644470897e-01, -6.168818960371931e-01 
-1.458635390598138e-01, -6.094100685579920e-01 
-1.383460986803035e-01, -6.019165206500721e-01 
-1.312760991323965e-01, -5.944664135995894e-01 
-1.243299060281855e-01, -5.871683495501371e-01 
-1.192364654936719e-01, -5.802395327889011e-01 
-1.127811540785015e-01, -5.728111461671370e-01 
-1.067906598379094e-01, -5.655782434038406e-01 
