rs=7.8, 
Re fxc, Im fxc 
-3.403448259784946e+01, 0.000000000000000e+00 
-3.404108995226566e+01, -6.191751823421613e-03 
-3.405100098388996e+01, -1.132963061745923e-02 
-3.406751936993046e+01, -1.404161923758878e-02 
-3.409394878759527e+01, -3.720931639483387e-03 
-3.414350394571677e+01, -5.066188998621836e-03 
-3.419636278104637e+01, -6.768904231676739e-03 
-3.425913264800028e+01, -9.233117061198764e-03 
-3.433181354657849e+01, -1.241984409613233e-02 
-3.441440547678100e+01, -1.653193111705479e-02 
-3.450690843860781e+01, -2.182144869494421e-02 
-3.461262610926702e+01, -2.815195496110604e-02 
-3.472495113434243e+01, -3.624133897286048e-02 
-3.484718719104214e+01, -4.543877632021175e-02 
-3.498263795657425e+01, -5.711727525084637e-02 
-3.512799975373066e+01, -6.991241707781889e-02 
-3.528327258251139e+01, -8.605088023938895e-02 
-3.544845644291640e+01, -1.032597348163835e-01 
-3.562685501215382e+01, -1.248327469852786e-01 
-3.581846829022363e+01, -1.473638255445227e-01 
-3.601668892270965e+01, -1.754219560729187e-01 
-3.622812426402808e+01, -2.053995230592210e-01 
-3.645277431417889e+01, -2.398965204662045e-01 
-3.668733539595402e+01, -2.778095201063637e-01 
-3.693841486376964e+01, -3.203707935783201e-01 
-3.719610168600146e+01, -3.673358687686742e-01 
-3.747030689427380e+01, -4.190714538475251e-01 
-3.775442313417042e+01, -4.763241798639037e-01 
-3.805505776010754e+01, -5.383672378320277e-01 
-3.836560341766898e+01, -6.072158708488382e-01 
-3.869266746127091e+01, -6.809539461336372e-01 
-3.902633885928904e+01, -7.628190673503631e-01 
-3.938313599776387e+01, -8.494084469746724e-01 
-3.974654049065491e+01, -9.458758214512016e-01 
-4.012976704679454e+01, -1.047067454335314e+00 
-4.052290463455848e+01, -1.159722847131535e+00 
-4.093916796277912e+01, -1.277003388019097e+00 
-4.136203864541596e+01, -1.407729895143626e+00 
-4.180803506850951e+01, -1.542817256182848e+00 
-4.226394252322736e+01, -1.693663157504708e+00 
-4.273306468677760e+01, -1.851017302926526e+00 
-4.323522362240885e+01, -2.021685267496989e+00 
-4.374068623524819e+01, -2.201966932743023e+00 
-4.428248929737664e+01, -2.396091005490998e+00 
-4.482759603671320e+01, -2.601910095555647e+00 
-4.541234690254695e+01, -2.822298402108020e+00 
-4.600370512279691e+01, -3.056694300022737e+00 
-4.664461850116837e+01, -3.306650517587607e+00 
-4.729874658837223e+01, -3.578212784093453e+00 
-4.802885925136241e+01, -3.873891894218431e+00 
-4.873914985110397e+01, -4.234653445342985e+00 
-4.950229928617514e+01, -4.663140379233597e+00 
-5.022580459474911e+01, -5.106493860560660e+00 
-5.098234667540408e+01, -5.592134410151406e+00 
-5.172237037001856e+01, -6.099579229315614e+00 
-5.249873451392213e+01, -6.646998542697837e+00 
-5.325527659457710e+01, -7.223820583232152e+00 
-5.405476647893738e+01, -7.840286750263672e+00 
-5.482452326842476e+01, -8.496397043792395e+00 
-5.563722786161743e+01, -9.195455141026420e+00 
-5.641028832831291e+01, -9.928210745783073e+00 
-5.719986718104888e+01, -1.068343135555480e+01 
-5.800266074261726e+01, -1.150604698037178e+01 
-5.877902488652083e+01, -1.233295738555929e+01 
-5.958512212529731e+01, -1.323585236653311e+01 
-6.037470097803328e+01, -1.414502433420231e+01 
-6.119070924843407e+01, -1.512654683272892e+01 
-6.199350281000244e+01, -1.611698925971740e+01 
-6.281611843481942e+01, -1.717912148212165e+01 
-6.354953477501769e+01, -1.824686995577967e+01 
-6.430938053288077e+01, -1.936978983881297e+01 
-6.506922629074384e+01, -2.051583546230297e+01 
-6.589184191556082e+01, -2.172663315907173e+01 
-6.665499135063199e+01, -2.292917166282025e+01 
-6.745117755778416e+01, -2.417862238292379e+01 
-6.819780860681483e+01, -2.548093193835693e+01 
-6.900390584559131e+01, -2.684997577339370e+01 
-6.974062586299769e+01, -2.817574143700436e+01 
-7.056324148781466e+01, -2.956031255491920e+01 
-7.135282034055065e+01, -3.095446433673754e+01 
-7.214900654770281e+01, -3.231657044963730e+01 
-7.303108836226559e+01, -3.368429281379083e+01 
-7.392968856286889e+01, -3.511808872210636e+01 
-7.491088069367468e+01, -3.653866992158950e+01 
-7.597136107747488e+01, -3.798568053873744e+01 
-7.718711429005579e+01, -3.944260218750968e+01 
-7.856805136304173e+01, -4.090943486790622e+01 
-8.014390539130558e+01, -4.245555580129717e+01 
-8.196423153296885e+01, -4.391247745006940e+01 
-8.416448055356366e+01, -4.537600645325784e+01 
-8.685367380095732e+01, -4.678998029832478e+01 
-9.022672823042775e+01, -4.827663504196993e+01 
-9.454793801862296e+01, -4.971043095028546e+01 
-1.003227657783823e+02, -5.122681878880351e+01 
-1.083440940396499e+02, -5.264079263387044e+01 
-1.203166202418054e+02, -5.413735840913989e+01 
-1.401287724587830e+02, -5.559428005791213e+01 
-1.801792512525832e+02, -5.718665247221649e+01 
-3.146290025906417e+02, -1.195898112560234e+02 
-3.923447052339936e+01, -3.492647544403654e+02 
9.598173392693850e+01, -2.685724386325152e+02 
3.689546706006433e+01, -1.223219523071223e+02 
1.386520287467622e+01, -1.115288388682586e+02 
2.042993985489236e+00, -1.107623857559793e+02 
-3.527996890530328e+00, -1.072968283646821e+02 
-4.408096498768252e+00, -1.084795448051820e+02 
-6.934748827523375e+00, -1.080566741225451e+02 
-6.113124305868826e+00, -1.093451082337043e+02 
-5.030839652495162e+00, -1.082350726917826e+02 
-4.579226978147849e+00, -1.114660690013047e+02 
1.152487794045795e+00, -1.122886846261217e+02 
2.157895878786965e-01, -1.133623797187543e+02 
9.911361992021760e+00, -1.119979610318088e+02 
1.065865377649405e+01, -1.141123144449930e+02 
1.420680309799379e+01, -1.162299715353853e+02 
1.972493513868375e+01, -1.104782695160827e+02 
2.370421433584058e+01, -1.111885601158243e+02 
2.776311215371263e+01, -1.124703868725672e+02 
3.167697854214908e+01, -1.054533764825621e+02 
3.596052641017194e+01, -1.051758675970817e+02 
3.864971965756560e+01, -1.020076411545135e+02 
4.204920350470083e+01, -9.842645506093272e+01 
4.355237663438648e+01, -9.499393444171650e+01 
4.530993290909584e+01, -9.200080289117763e+01 
4.687587590573539e+01, -8.908695959363314e+01 
4.847155199724785e+01, -8.597159198639454e+01 
4.950229928617514e+01, -8.287604644240454e+01 
5.043063258165133e+01, -7.994898843602766e+01 
5.106493860560660e+01, -7.720693635330440e+01 
5.171245933839425e+01, -7.451113575149454e+01 
5.207916750849339e+01, -7.198712636450590e+01 
5.251194922275453e+01, -6.948293904076587e+01 
5.268043676036765e+01, -6.716375764067944e+01 
5.292821255097518e+01, -6.485448727221731e+01 
5.294473093701568e+01, -6.272691915020071e+01 
5.305705596209109e+01, -6.059604735097601e+01 
5.297116035468047e+01, -5.865018147540492e+01 
5.297776770909667e+01, -5.668449353658523e+01 
5.275311765894585e+01, -5.490711519862726e+01 
5.237319478001432e+01, -5.339733471452542e+01 
5.197344983783418e+01, -5.169594095235375e+01 
5.205934544524479e+01, -5.012339060129801e+01 
5.161665269935935e+01, -4.864003953486096e+01 
5.160674166773504e+01, -4.708731124705381e+01 
5.121690775717921e+01, -4.569646314244358e+01 
5.108145699164709e+01, -4.425275620250374e+01 
5.063546056855355e+01, -4.292467796484741e+01 
5.044054361327563e+01, -4.163294017648019e+01 
4.996811777251729e+01, -4.042379431831547e+01 
4.977650449444747e+01, -3.926420361827226e+01 
4.930407865368912e+01, -3.814425704472626e+01 
4.912568008445171e+01, -3.704413253442885e+01 
4.865325424369336e+01, -3.601338524550155e+01 
4.844842625679114e+01, -3.496281589332565e+01 
4.798591144765710e+01, -3.400474950297657e+01 
4.774804668867387e+01, -3.301959295952105e+01 
4.728883555674793e+01, -3.211735871398885e+01 
4.702784505730801e+01, -3.121049932036531e+01 
4.674372881741138e+01, -3.029802367548800e+01 
4.630433974873404e+01, -2.953355276953359e+01 
4.602683086325361e+01, -2.868153441756452e+01 
4.559404914899248e+01, -2.796529719884837e+01 
4.531654026351204e+01, -2.715919996007189e+01 
4.489036590366710e+01, -2.648954458998996e+01 
4.460624966377048e+01, -2.573102030301013e+01 
4.418998633554983e+01, -2.510166979486701e+01 
4.390256641844510e+01, -2.439071845968383e+01 
4.349291044464067e+01, -2.379704766538820e+01 
4.320549052753594e+01, -2.313267817883923e+01 
4.280244190814771e+01, -2.257435673067027e+01 
4.251832566825107e+01, -2.195227431238498e+01 
4.212188440327903e+01, -2.142698963629703e+01 
4.184437551779861e+01, -2.084058693185923e+01 
4.145784528445087e+01, -2.034536571836499e+01 
4.118033639897045e+01, -1.979034794740414e+01 
4.080371719724701e+01, -1.932353835789956e+01 
4.052951198897468e+01, -1.879891441725323e+01 
4.015950014166745e+01, -1.835754314225103e+01 
3.988859861060322e+01, -1.786232192875679e+01 
3.960117869349850e+01, -1.736544887665850e+01 
3.925759626385606e+01, -1.697825790786915e+01 
3.897678370116753e+01, -1.651012684748133e+01 
3.864311230314940e+01, -1.614374904510301e+01 
3.836560341766898e+01, -1.570105629921757e+01 
3.804184305127514e+01, -1.535383982464622e+01 
3.777094152021092e+01, -1.493394245149667e+01 
3.745048483102519e+01, -1.460489620156988e+01 
3.718288697716906e+01, -1.420680309799379e+01 
3.687234131960764e+01, -1.389427523410750e+01 
3.661135082016771e+01, -1.351765603238406e+01 
3.630410883981438e+01, -1.322065545137585e+01 
3.604642201758255e+01, -1.286418868062182e+01 
3.574909106885353e+01, -1.258172427932925e+01 
3.549801160103790e+01, -1.224474920410301e+01 
3.520728800672508e+01, -1.197649061480527e+01 
3.496281589332565e+01, -1.165702502878197e+01 
3.467539597622093e+01, -1.140165078059581e+01 
3.443753121723770e+01, -1.109804284517139e+01 
3.418645174942208e+01, -1.079278307114292e+01 
3.392215757277405e+01, -1.056648118238805e+01 
-3.404769730668186e+01, 0.000000000000000e+00 
-3.405760833830616e+01, -8.107223868678176e-03 
-3.407082304713857e+01, -1.803378277585720e-02 
-3.409064511038717e+01, -2.901388434469941e-02 
-3.411377085084387e+01, -3.902633885928904e-02 
-3.414680762292488e+01, -4.709722227867811e-02 
-3.417984439500587e+01, -5.045045464489994e-02 
-3.422609587591928e+01, -4.394881789935851e-02 
-3.428225838845699e+01, -3.104696729856435e-02 
-3.438136870469999e+01, -1.564984930249201e-02 
-3.447717534373491e+01, -2.077253118137236e-02 
-3.458289301439411e+01, -2.688995026761172e-02 
-3.469521803946952e+01, -3.466878862180472e-02 
-3.481745409616924e+01, -4.353916192555408e-02 
-3.495290486170135e+01, -5.476505707867895e-02 
-3.509496298164967e+01, -6.710759512814174e-02 
-3.524693213322227e+01, -8.263487800621322e-02 
-3.541211599362730e+01, -9.924246333133352e-02 
-3.558721088565661e+01, -1.200093782614521e-01 
-3.577552048651832e+01, -1.417640926767927e-01 
-3.597374111900434e+01, -1.687980832706776e-01 
-3.618187278311466e+01, -1.976887404555148e-01 
-3.640321915605739e+01, -2.310261471624551e-01 
-3.663447656062441e+01, -2.676077648877500e-01 
-3.687894867402384e+01, -3.087682792234718e-01 
-3.713333181904756e+01, -3.541211599362729e-01 
-3.740753702731989e+01, -4.042049064110737e-01 
-3.768504591280031e+01, -4.595414996467541e-01 
-3.798237686152934e+01, -5.196353880620987e-01 
-3.828631516467457e+01, -5.862705573494822e-01 
-3.861007553106840e+01, -6.576960585886110e-01 
-3.894044325187843e+01, -7.369512748109377e-01 
-3.929063303593706e+01, -8.209968229850098e-01 
-3.965073385162000e+01, -9.143917776580057e-01 
