rs=5.8, 
Re fxc, Im fxc 
-1.358654041722654e+01, 0.000000000000000e+00 
-1.358854977408730e+01, -2.279158686516653e-03 
-1.359202048139225e+01, -4.248145741254410e-03 
-1.359731787675243e+01, -5.720821651384830e-03 
-1.360407662255680e+01, -5.302144749124978e-03 
-1.361814212058211e+01, -1.679785801832959e-03 
-1.363567832591236e+01, -2.152751873094394e-03 
-1.365522388810338e+01, -2.780584557678648e-03 
-1.367805748879381e+01, -3.641867975721929e-03 
-1.370326578395606e+01, -4.656775859210469e-03 
-1.373231012403429e+01, -6.075016465294888e-03 
-1.376409449619538e+01, -7.581668773252678e-03 
-1.379934957566142e+01, -9.773694439534623e-03 
-1.383752735601583e+01, -1.206618794885449e-02 
-1.387899317486966e+01, -1.510214349665498e-02 
-1.392411236983396e+01, -1.840205546843693e-02 
-1.397197159688112e+01, -2.247191645550041e-02 
-1.402403220645532e+01, -2.702950315331162e-02 
-1.407865017930684e+01, -3.234516539404534e-02 
-1.413783487229645e+01, -3.844082343436438e-02 
-1.419921159095235e+01, -4.523244962372794e-02 
-1.426588570496842e+01, -5.318219604011046e-02 
-1.433548251987288e+01, -6.153016045253420e-02 
-1.440855004208227e+01, -7.186556146905357e-02 
-1.448600161562423e+01, -8.251149945496289e-02 
-1.456655855886010e+01, -9.513026054052597e-02 
-1.465186489103957e+01, -1.084449897751335e-01 
-1.473991125530189e+01, -1.236393810185779e-01 
-1.483343768372992e+01, -1.399864124248755e-01 
-1.492952147543528e+01, -1.580687974836463e-01 
-1.503163333772292e+01, -1.778408689935095e-01 
-1.513575455687131e+01, -1.991455317817147e-01 
-1.524681719062959e+01, -2.227646083359027e-01 
-1.536171586930387e+01, -2.473700964399175e-01 
-1.547971991767205e+01, -2.755924268932975e-01 
-1.560430004303907e+01, -3.046733007326380e-01 
-1.573125486287790e+01, -3.371883481158202e-01 
-1.586569910374320e+01, -3.712012797042951e-01 
-1.600233537027477e+01, -4.084657160310881e-01 
-1.614755707066595e+01, -4.479952455463726e-01 
-1.629405745269579e+01, -4.904657428305852e-01 
-1.645096995664047e+01, -5.361329442114591e-01 
-1.660806512939068e+01, -5.843209751085573e-01 
-1.677758178091648e+01, -6.367834560549052e-01 
-1.695203049019142e+01, -6.911091588175926e-01 
-1.713031524438236e+01, -7.512802633570320e-01 
-1.731974279571022e+01, -8.134607247572300e-01 
-1.751337172956513e+01, -8.812673853675514e-01 
-1.772197950547296e+01, -9.523803513578483e-01 
-1.793771136479620e+01, -1.032407555057691e+00 
-1.818029553853141e+01, -1.122664211866851e+00 
-1.841484228482357e+01, -1.223132054904773e+00 
-1.865961848422506e+01, -1.360900868030593e+00 
-1.890074130751607e+01, -1.495746980268038e+00 
-1.914003744275185e+01, -1.651362535693503e+00 
-1.938664033020857e+01, -1.812165885195836e+00 
-1.962228308933388e+01, -1.978120495013932e+00 
-1.987071266484584e+01, -2.156953255621434e+00 
-2.011183548813685e+01, -2.338526048311789e+00 
-2.036209175170404e+01, -2.532520319777741e+00 
-2.060869463916076e+01, -2.731629317798351e+00 
-2.086077759078318e+01, -2.947178508316076e+00 
-2.111103385435037e+01, -3.165285062111129e+00 
-2.137225024624896e+01, -3.398918464375680e+00 
-2.163894670231327e+01, -3.639493281250123e+00 
-2.189285634199092e+01, -3.888105525567600e+00 
-2.216320617416570e+01, -4.148773911049628e+00 
-2.242624925411954e+01, -4.418027730391261e+00 
-2.270573252657049e+01, -4.701529716563726e+00 
-2.297242898263479e+01, -4.991425110929512e+00 
-2.325739231925144e+01, -5.297760697792414e+00 
-2.352956883948145e+01, -5.612133712098350e+00 
-2.381818555220857e+01, -5.948061645456058e+00 
-2.409584213660428e+01, -6.287460286118713e+00 
-2.439176560155234e+01, -6.639828411973535e+00 
-2.469134244261087e+01, -7.000964640493486e+00 
-2.497082571506182e+01, -7.374157010177987e+00 
-2.527953599639653e+01, -7.760136196249133e+00 
-2.557545946134459e+01, -8.144106025459521e+00 
-2.588964980684501e+01, -8.523691803337345e+00 
-2.619470671206924e+01, -8.944012724846907e+00 
-2.653264400228771e+01, -9.365612327995134e+00 
-2.688336810889282e+01, -9.781914535783180e+00 
-2.725235909605028e+01, -1.021831031217881e+01 
-2.765240378014674e+01, -1.064191927218780e+01 
-2.808350216118219e+01, -1.109164987138664e+01 
-2.856392111970898e+01, -1.154832188519538e+01 
-2.908635390350618e+01, -1.198745769367387e+01 
-2.968368089756801e+01, -1.245837787431343e+01 
-3.036138216606017e+01, -1.288892824893231e+01 
-3.115416478203215e+01, -1.334925363885152e+01 
-3.208760237825721e+01, -1.379587886835647e+01 
-3.322745572472382e+01, -1.427392313241146e+01 
-3.465775247197279e+01, -1.472036569311088e+01 
-3.646800033471063e+01, -1.519110320494493e+01 
-3.888653531984171e+01, -1.563644975281121e+01 
-4.224946802952926e+01, -1.611157131597782e+01 
-4.730391387836438e+01, -1.659345162494880e+01 
-5.581445352770403e+01, -1.704482624339736e+01 
-7.349131383821269e+01, -1.766790953903800e+01 
-1.318558238910247e+02, -6.028435919886396e+01 
3.244928661319373e+01, -1.341702376570074e+02 
1.836186833122176e+01, -5.992815502809314e+01 
9.602533768759109e+00, -4.719248590699505e+01 
5.931438784153420e+00, -4.054699476205028e+01 
3.111945770898268e+00, -3.840976973742539e+01 
1.443668103813289e+00, -3.577933893788705e+01 
3.032667509301071e-01, -3.549985566543610e+01 
4.053786132177410e-01, -3.384670297544847e+01 
-1.145899683929439e+00, -3.383208947100659e+01 
2.683039415529101e-01, -3.312698788168589e+01 
-1.042582207525350e+00, -3.217528340490849e+01 
-8.103188213022257e-01, -3.243284642069661e+01 
4.037711277291343e-01, -3.251687407123742e+01 
-1.904322297582440e-01, -3.142999467837262e+01 
-7.179980069906512e-01, -3.259907503372300e+01 
4.402866219532811e-01, -3.279818403174361e+01 
8.418109233744764e-01, -3.170765126276834e+01 
9.123028154259932e-01, -3.196704096661170e+01 
1.655052445565078e+00, -3.184465286691096e+01 
2.680482052251772e+00, -3.167111750166364e+01 
3.132039339505853e+00, -3.089660176624402e+01 
3.493175568025804e+00, -3.076325353821187e+01 
4.039355296541054e+00, -3.063355868629019e+01 
4.639239653880213e+00, -3.045819663298763e+01 
5.323334330565705e+00, -3.006728538916735e+01 
5.722283001829018e+00, -2.970925453034130e+01 
6.308284529948391e+00, -2.932930341485243e+01 
6.831995995384253e+00, -2.892743204270074e+01 
7.304194857662488e+00, -2.851825391832811e+01 
7.791007224382604e+00, -2.808532884923742e+01 
8.212241489919785e+00, -2.764692371598104e+01 
8.662154757924155e+00, -2.718111826189612e+01 
9.030963076276091e+00, -2.672627293614262e+01 
9.439958531843198e+00, -2.624220060150536e+01 
9.753966208538085e+00, -2.578187521158615e+01 
1.012076517002927e+01, -2.528501606056224e+01 
1.038837497012119e+01, -2.482651735869826e+01 
1.071443878798063e+01, -2.432600483156389e+01 
1.101127559695630e+01, -2.383645243276092e+01 
1.122445009300222e+01, -2.337612704284171e+01 
1.148877185459472e+01, -2.288840133209398e+01 
1.156110870158203e+01, -2.247922320772135e+01 
1.171509850463833e+01, -2.204995151474114e+01 
1.196937348192704e+01, -2.159510618898763e+01 
1.211642187037345e+01, -2.110738047823990e+01 
1.230858945378417e+01, -2.067445540914921e+01 
1.238457967688194e+01, -2.021595670728524e+01 
1.254514555693710e+01, -1.981956539929925e+01 
1.260725295081508e+01, -1.939212039437428e+01 
1.266680298141574e+01, -1.895371526111789e+01 
1.281677407075053e+01, -1.859751109034707e+01 
1.284490506680115e+01, -1.818559293389159e+01 
1.298683872869291e+01, -1.780966053212423e+01 
1.301003766699439e+01, -1.742696938455251e+01 
1.311233219808755e+01, -1.704774894428574e+01 
1.311854293747535e+01, -1.667473924340676e+01 
1.319745586146150e+01, -1.631104565160948e+01 
1.318284235701962e+01, -1.596160022664303e+01 
1.324860312700808e+01, -1.561343348331525e+01 
1.322467351348450e+01, -1.528718699665029e+01 
1.319690785504493e+01, -1.495253774493124e+01 
1.325134315909093e+01, -1.463853006823635e+01 
1.321407872276414e+01, -1.432397438512490e+01 
1.325609254803454e+01, -1.400941870201344e+01 
1.321243470351443e+01, -1.371459124989851e+01 
1.323764299867667e+01, -1.340533296214724e+01 
1.318923576521294e+01, -1.312603235850181e+01 
1.320074389996092e+01, -1.282700352385985e+01 
1.314466457666521e+01, -1.256377777510049e+01 
1.314649126472044e+01, -1.227516106237337e+01 
1.308694123411978e+01, -1.202837550611113e+01 
1.302300715218656e+01, -1.177556187926661e+01 
1.301935377607609e+01, -1.151635484422877e+01 
1.295213165564344e+01, -1.127852005943718e+01 
1.294190220253413e+01, -1.102387974453743e+01 
1.287248805643520e+01, -1.080047579538219e+01 
1.285349050066076e+01, -1.055149821345367e+01 
1.278298034172869e+01, -1.034106374949060e+01 
1.275576268970569e+01, -1.009939291978302e+01 
1.268379118032943e+01, -9.900466590567929e+00 
1.260780095723165e+01, -9.696973541214756e+00 
1.257729526670923e+01, -9.479780331447319e+00 
1.250057436838936e+01, -9.287978085647650e+00 
1.246495395131228e+01, -9.077908959295630e+00 
1.238731970896480e+01, -8.897432179438416e+00 
1.234859392219382e+01, -8.692843117252101e+00 
1.227132501745738e+01, -8.522595790504203e+00 
1.222803251054831e+01, -8.323121454872545e+00 
1.215094627461739e+01, -8.162920912428440e+00 
1.210272170995919e+01, -7.969291978573535e+00 
1.202654881805589e+01, -7.817859538794559e+00 
1.194672255004213e+01, -7.663139060516157e+00 
1.189886332299497e+01, -7.487229000797031e+00 
1.181995039900882e+01, -7.340728618767187e+00 
1.176862046465672e+01, -7.170846629630337e+00 
1.169025554708714e+01, -7.032749012654574e+00 
1.163636824945771e+01, -6.868347087683428e+00 
1.155928201352679e+01, -6.737738891734129e+00 
1.150320269023108e+01, -6.578269024512117e+00 
-1.360224993450156e+01, 0.000000000000000e+00 
-1.360498996658442e+01, -2.904982014240148e-03 
-1.360937401791698e+01, -6.455698256005853e-03 
-1.361576742611030e+01, -1.044372361819480e-02 
-1.362362218474781e+01, -1.436781489845053e-02 
-1.363312096263504e+01, -1.784856898770074e-02 
-1.364444642857749e+01, -2.046438628279720e-02 
-1.365741591376966e+01, -2.143801101623742e-02 
-1.367349076865573e+01, -1.872903263032399e-02 
-1.369303633084674e+01, -1.540318168815771e-02 
-1.372482070300783e+01, -5.716620268857790e-03 
-1.376007578247386e+01, -7.213956467733882e-03 
-1.379642687477304e+01, -9.340769370443940e-03 
-1.383496999273850e+01, -1.157005947305268e-02 
-1.387661848039785e+01, -1.450609518423182e-02 
-1.392137233775111e+01, -1.770809667625317e-02 
-1.396904889599274e+01, -2.164442676647898e-02 
-1.402056149915037e+01, -2.606501186014756e-02 
-1.407463146558532e+01, -3.120713873563396e-02 
-1.413308548335284e+01, -3.712195465848474e-02 
-1.419391419559217e+01, -4.369620496927534e-02 
-1.425967496558063e+01, -5.141030862653256e-02 
-1.432835843645746e+01, -5.951532352761005e-02 
-1.440051261463924e+01, -6.952557407029761e-02 
-1.447705084415358e+01, -7.986645515098267e-02 
-1.455651177455631e+01, -9.209978505689116e-02 
-1.464072209390264e+01, -1.050363898640651e-01 
-1.472767244533182e+01, -1.197777624698112e-01 
-1.482010286092671e+01, -1.356699485503553e-01 
-1.491472530218788e+01, -1.532280741372737e-01 
-1.501574115164237e+01, -1.724612726708425e-01 
-1.511858368915210e+01, -1.931539949605441e-01 
-1.522836764127172e+01, -2.161519975759522e-01 
-1.534180496950181e+01, -2.400998779800824e-01 
-1.545834766742580e+01, -2.675549994502638e-01 
-1.558128377354311e+01, -2.958503974258532e-01 
-1.570695991174328e+01, -3.275069014230750e-01 
-1.583994280216438e+01, -3.606612896255894e-01 
-1.597493504944625e+01, -3.969393144025556e-01 
-1.611851273058771e+01, -4.354824323680132e-01 
-1.626355176217337e+01, -4.768569168190848e-01 
-1.641863757806282e+01, -5.213915716057130e-01 
-1.657408873156331e+01, -5.683739883863561e-01 
-1.674196136383940e+01, -6.195760545745918e-01 
-1.691458338505911e+01, -6.725865419375102e-01 
-1.709122412000033e+01, -7.312780291522093e-01 
-1.727900765207848e+01, -7.919788732276668e-01 
-1.747099256668367e+01, -8.582145821104863e-01 
-1.767795632334179e+01, -9.276835288510715e-01 
-1.789204416341533e+01, -1.006011912659546e+00 
-1.813316698670635e+01, -1.094569749577337e+00 
-1.836552170733223e+01, -1.193357039604443e+00 
-1.860847121867848e+01, -1.329171296511162e+00 
-1.884959404196950e+01, -1.462282055096133e+00 
-1.908889017720527e+01, -1.616125723108021e+00 
-1.933183968855152e+01, -1.775120651435672e+00 
-1.956930913573207e+01, -1.939394708242951e+00 
-1.981591202318878e+01, -2.117131456017312e+00 
-2.005703484647980e+01, -2.297242898263479e+00 
-2.030546442199175e+01, -2.490323825701813e+00 
-2.055024062139324e+01, -2.688336810889282e+00 
-2.080232357301566e+01, -2.903703332601483e+00 
-2.105257983658285e+01, -3.121444548785490e+00 
-2.131196954042622e+01, -3.355260619855565e+00 
-2.157683930843528e+01, -3.596200774341054e+00 
-2.182892226005771e+01, -3.845361025075102e+00 
-2.209561871612201e+01, -4.106394748168177e+00 
-2.235683510802061e+01, -4.376379242731903e+00 
-2.263449169241632e+01, -4.660794572931986e+00 
-2.289936146042539e+01, -4.951968648936438e+00 
-2.317884473287634e+01, -5.259582917438005e+00 
-2.344919456505111e+01, -5.575417282188128e+00 
-2.373598458972300e+01, -5.914085247628688e+00 
-2.400816110995300e+01, -6.256406589179719e+00 
-2.429677782268013e+01, -6.612976097561582e+00 
-2.458904791151772e+01, -6.978496377414096e+00 
-2.486305111980296e+01, -7.356803473653255e+00 
-2.516445464891673e+01, -7.748080055084582e+00 
-2.544576460942292e+01, -8.136799273238580e+00 
-2.574716813853668e+01, -8.529171867503049e+00 
-2.604491829153998e+01, -8.947118094540807e+00 
-2.637189545342704e+01, -9.370361716938746e+00 
-2.669521923920362e+01, -9.794701352169826e+00 
-2.704594334580873e+01, -1.023255847900964e+01 
-2.742406777324237e+01, -1.066365686004509e+01 
-2.782776583344929e+01, -1.111357012804946e+01 
-2.827895778309233e+01, -1.157298217394105e+01 
-2.876668349384006e+01, -1.201047396316982e+01 
-2.932747672679719e+01, -1.247682742367131e+01 
-2.996133748196372e+01, -1.291632856976084e+01 
-3.070479952044435e+01, -1.338195135504023e+01 
-3.158343647501236e+01, -1.382400986440709e+01 
-3.265387567538004e+01, -1.430077544682341e+01 
-3.399466470792250e+01, -1.474557398827312e+01 
-3.569165791123577e+01, -1.521759018174583e+01 
-3.796405785194806e+01, -1.566677277452811e+01 
-4.111326805917312e+01, -1.614573038261072e+01 
-4.583891005806594e+01, -1.663528278141368e+01 
-5.377586965806182e+01, -1.710035756027650e+01 
-7.021058209101071e+01, -1.767868699856389e+01 
-1.250221838763907e+02, -5.726301715550535e+01 
2.265275857296867e+01, -1.221634170699481e+02 
1.281823542119472e+01, -5.884127563522835e+01 
6.538081887296949e+00, -4.658967884876751e+01 
3.632369197834707e+00, -4.193893106013932e+01 
1.914186413080708e+00, -3.904545718064715e+01 
