rs=0.8, 
Re fxc, Im fxc 
-3.190053301387533e-02, 0.000000000000000e+00 
-3.190296570189182e-02, -3.146160659032970e-06 
-3.190678849734629e-02, -6.527944528805402e-06 
-3.191130634651976e-02, -1.042476320435347e-05 
-3.191686677627173e-02, -1.444842918361822e-05 
-3.192312225974268e-02, -1.834073000999282e-05 
-3.193007279693264e-02, -2.188550397686969e-05 
-3.193910849527958e-02, -2.504591323714207e-05 
-3.194918677420502e-02, -2.736530749742993e-05 
-3.195961257998995e-02, -2.846210226600477e-05 
-3.197142849321287e-02, -2.768676984246533e-05 
-3.198359193329529e-02, -2.330827893965340e-05 
-3.200201085684867e-02, -1.348995010512347e-05 
-3.203537343536045e-02, -4.633923144542761e-06 
-3.206665085271525e-02, -5.473895563948780e-06 
-3.209792827007005e-02, -6.342365185833612e-06 
-3.213024826800333e-02, -7.250800396560684e-06 
-3.216430590023411e-02, -8.202676464724973e-06 
-3.220010116676238e-02, -9.392608431645209e-06 
-3.223902417502612e-02, -1.098497650186382e-05 
-3.227968481758735e-02, -1.265936091092389e-05 
-3.232243062130558e-02, -1.441680423940392e-05 
-3.236691405932129e-02, -1.625904412160140e-05 
-3.241348265849399e-02, -1.818816571867331e-05 
-3.246283147254266e-02, -2.067298276408210e-05 
-3.251530802832683e-02, -2.359637870617702e-05 
-3.256986974526797e-02, -2.665600517719505e-05 
-3.262651662336610e-02, -2.985325228457419e-05 
-3.268524866262121e-02, -3.319124777004991e-05 
-3.274641338989281e-02, -3.667103421420070e-05 
-3.281001080518089e-02, -4.122363607362099e-05 
-3.287777854278295e-02, -4.615851747848879e-05 
-3.294797896840150e-02, -5.129843973046025e-05 
-3.302026455517703e-02, -5.665382863532030e-05 
-3.309498282996904e-02, -6.222120892447397e-05 
-3.317213379277753e-02, -6.800753113511121e-05 
-3.325206497046201e-02, -7.563227043249146e-05 
-3.333755657789846e-02, -8.347595165135528e-05 
-3.342513334649189e-02, -9.162198123798211e-05 
-3.351549032996130e-02, -1.000738344609670e-04 
-3.360828000144719e-02, -1.088349865889048e-04 
-3.370419741466856e-02, -1.179228139647705e-04 
-3.380532773078240e-02, -1.300271744810765e-04 
-3.391167094978871e-02, -1.420585543568880e-04 
-3.402044685681150e-02, -1.545034911955018e-04 
-3.413235050556977e-02, -1.673793613398928e-04 
-3.424703436920402e-02, -1.806965905958459e-04 
-3.436519350143325e-02, -1.944864563807159e-04 
-3.448543779481947e-02, -2.132355304506185e-04 
-3.461819305514759e-02, -2.319324754915965e-04 
-3.475616121836820e-02, -2.511507108218211e-04 
-3.489517196216729e-02, -2.716478449949973e-04 
-3.504113324315634e-02, -2.945463897673029e-04 
-3.518709452414539e-02, -3.202077730726155e-04 
-3.533653107372942e-02, -3.564930524727737e-04 
-3.549986869769334e-02, -3.961458671414649e-04 
-3.566668159025226e-02, -4.377448322233435e-04 
-3.583349448281117e-02, -4.801431090820668e-04 
-3.600378264396505e-02, -5.244180309820779e-04 
-3.617754607371392e-02, -5.710908882126234e-04 
-3.633740842908288e-02, -6.266604330463107e-04 
-3.651812239602170e-02, -6.919607299459346e-04 
-3.670578690015048e-02, -7.582688547381019e-04 
-3.689345140427926e-02, -8.247507429600180e-04 
-3.708806644559798e-02, -8.927269966777745e-04 
-3.728268148691671e-02, -9.615025621723757e-04 
-3.746339545385553e-02, -1.027219891303397e-03 
-3.766496103236422e-02, -1.111738423533245e-03 
-3.787347714806286e-02, -1.197438547085386e-03 
-3.808199326376149e-02, -1.284216003901970e-03 
-3.829745991665010e-02, -1.371723267123499e-03 
-3.851987710672863e-02, -1.459960336749973e-03 
-3.873186849102225e-02, -1.544548374351721e-03 
-3.895776094969578e-02, -1.650891593358027e-03 
-3.919407921415424e-02, -1.758624919802324e-03 
-3.943387274720767e-02, -1.868200138601959e-03 
-3.967714154885608e-02, -1.979130712153635e-03 
-3.993083615628943e-02, -2.091416640457353e-03 
-4.018453076372278e-02, -2.198767687356202e-03 
-4.044865117694105e-02, -2.330063334874445e-03 
-4.072667266453924e-02, -2.463444143549675e-03 
-4.101164468932738e-02, -2.599327145613288e-03 
-4.130704251990045e-02, -2.736635007800842e-03 
-4.161286615625846e-02, -2.875715256971835e-03 
-4.191868979261646e-02, -3.010590431142904e-03 
-4.224884030913931e-02, -3.166351969569788e-03 
-4.258941663144709e-02, -3.325310755104051e-03 
-4.295431983391970e-02, -3.487084508200245e-03 
-4.333659937936721e-02, -3.652159766461667e-03 
-4.373625526778960e-02, -3.794645778855738e-03 
-4.414981223059190e-02, -3.972927057778074e-03 
-4.460507241653393e-02, -4.156073712733379e-03 
-4.509508528842573e-02, -4.344085743721653e-03 
-4.563027665205224e-02, -4.536615623883396e-03 
-4.622454758179336e-02, -4.736791094954090e-03 
-4.689179915202901e-02, -4.941831942057752e-03 
-4.764245716854411e-02, -5.156256014367853e-03 
-4.855992807761812e-02, -5.379020731305899e-03 
-4.971024198255562e-02, -5.704653398655274e-03 
-5.129148919327030e-02, -6.299619382115392e-03 
-5.362686968909506e-02, -7.902413258118933e-03 
-5.423851696181106e-02, -1.176030892540326e-02 
-5.304649983373384e-02, -1.410333501213697e-02 
-5.195526549491097e-02, -1.570300114640503e-02 
-5.072154514369401e-02, -1.663819592531343e-02 
-4.996046132139399e-02, -1.752855973934662e-02 
-4.886227644538115e-02, -1.788129950173682e-02 
-4.814289584622084e-02, -1.827609001412624e-02 
-4.767720985449388e-02, -1.895098717527084e-02 
-4.667633249914042e-02, -1.901840738601340e-02 
-4.617241855286870e-02, -1.921476006162961e-02 
-4.600908092890477e-02, -1.987332346037782e-02 
-4.545303795370839e-02, -1.986046496657640e-02 
-4.459812187934398e-02, -1.983127271037859e-02 
-4.441045737521519e-02, -2.001754710706937e-02 
-4.437222942067044e-02, -2.060903782193452e-02 
-4.414633696199692e-02, -2.078002103680740e-02 
-4.359724452399051e-02, -2.067576297895808e-02 
-4.311418218928866e-02, -2.081616383019516e-02 
-4.306205316036400e-02, -2.096699048721718e-02 
-4.306552842895898e-02, -2.155118313803287e-02 
-4.323929185870784e-02, -2.182711946447407e-02 
-4.284311123888043e-02, -2.198037880951257e-02 
-4.214110698269501e-02, -2.225214481363980e-02 
-4.219671128021465e-02, -2.188237623513421e-02 
-4.212720590831510e-02, -2.227612416694514e-02 
-4.209245322236533e-02, -2.290097746032206e-02 
-4.253728760252242e-02, -2.362591848923433e-02 
-4.201252204468085e-02, -2.357622214832615e-02 
-4.182138227195709e-02, -2.376388665245493e-02 
-4.124796295378583e-02, -2.398352362765750e-02 
-4.158158873890366e-02, -2.374651030948004e-02 
-4.142520165212968e-02, -2.427475113591659e-02 
-4.164414357361326e-02, -2.452427542103597e-02 
-4.155726185873882e-02, -2.544522159870496e-02 
-4.151555863559909e-02, -2.546815837143181e-02 
