rs=2.4, 
Re fxc, Im fxc 
-8.995385231239302e-01, 0.000000000000000e+00 
-8.996323553759945e-01, -1.118761941363695e-04 
-8.997574650454137e-01, -2.147757694919125e-04 
-8.999451295495425e-01, -3.191234892709826e-04 
-9.001640714710261e-01, -4.080451868106674e-04 
-9.004768456445740e-01, -4.622802285038834e-04 
-9.008208972354768e-01, -4.389472751572057e-04 
-9.012587810784440e-01, -2.151667372088475e-04 
-9.021971035990878e-01, -1.171714608945364e-04 
-9.030728712850221e-01, -1.407515058383170e-04 
-9.040111938056660e-01, -1.655075816746380e-04 
-9.050433485783743e-01, -2.025775767235421e-04 
-9.062006130205017e-01, -2.456153030037413e-04 
-9.074204322973387e-01, -2.911395839636467e-04 
-9.087653612435949e-01, -3.468352810473318e-04 
-9.102353998592704e-01, -4.186795087112979e-04 
-9.117679933096553e-01, -4.944959683793232e-04 
-9.134256964294596e-01, -5.744097697208267e-04 
-9.152085092186829e-01, -6.861014270948029e-04 
-9.171164316773254e-01, -8.035481292620615e-04 
-9.190869089706776e-01, -9.270313729787958e-04 
-9.212137733508038e-01, -1.078851956818975e-03 
-9.234657474003490e-01, -1.251409468365384e-03 
-9.258115537019587e-01, -1.432380605180233e-03 
-9.282824696729877e-01, -1.621921754350297e-03 
-9.308784953134357e-01, -1.877239312217495e-03 
-9.336309080406576e-01, -2.132400482997920e-03 
-9.364771530199442e-01, -2.399134298199620e-03 
-9.394797850860046e-01, -2.727422070755557e-03 
-9.426388042388388e-01, -3.077197429034240e-03 
-9.459229330610924e-01, -3.442079779895289e-03 
-9.492696167180557e-01, -3.857131108193431e-03 
-9.528977971312119e-01, -4.326917916862465e-03 
-9.566198097964327e-01, -4.816409498465022e-03 
-9.604669321310727e-01, -5.325918627174646e-03 
-9.644704415524865e-01, -5.954594716006044e-03 
-9.687241703127387e-01, -6.601098932729675e-03 
-9.730717313250553e-01, -7.272625083337143e-03 
-9.775131245894363e-01, -8.044864517827054e-03 
-9.822985694447202e-01, -8.881535432067844e-03 
-9.871778465520683e-01, -9.750109312010527e-03 
-9.922447881635453e-01, -1.065027338348155e-02 
-9.974681168617963e-01, -1.175061292602327e-02 
-1.002972942316240e+00, -1.285251633943273e-02 
-1.008665432274813e+00, -1.399382929870924e-02 
-1.014420477068096e+00, -1.530904469847840e-02 
-1.020675960539055e+00, -1.668900435217200e-02 
-1.027087831096788e+00, -1.811681845441843e-02 
-1.033656088741295e+00, -1.959311255356480e-02 
-1.040630952811415e+00, -2.147820249753835e-02 
-1.048074978141856e+00, -2.334859205535514e-02 
-1.055737945393781e+00, -2.528122367370798e-02 
-1.063307080393642e+00, -2.776715280506716e-02 
-1.071689428244727e+00, -3.072505816431021e-02 
-1.080290718017296e+00, -3.378273848491505e-02 
-1.088673065868381e+00, -3.682290345180122e-02 
-1.097493297562433e+00, -4.094526705916332e-02 
-1.106501193760615e+00, -4.520212356115104e-02 
-1.115728031880279e+00, -4.959972844123534e-02 
-1.124704650661106e+00, -5.428821330271925e-02 
-1.134056598450190e+00, -5.954907490179592e-02 
-1.143627488160758e+00, -6.497570681285302e-02 
-1.153041990784551e+00, -7.054934258547764e-02 
-1.162519048243054e+00, -7.682046476511421e-02 
-1.172183770205686e+00, -8.328237919061506e-02 
-1.182036156672447e+00, -8.993508586198014e-02 
-1.191763433469788e+00, -9.702880411804786e-02 
-1.201866039275387e+00, -1.044071468720442e-01 
-1.211999922498341e+00, -1.118230225268663e-01 
-1.221977418634521e+00, -1.197612310515135e-01 
-1.232142579274830e+00, -1.277995273116961e-01 
-1.242526681836622e+00, -1.361318312950137e-01 
-1.253192281154607e+00, -1.447206101006406e-01 
-1.263826603055238e+00, -1.538035721004734e-01 
-1.274711144294707e+00, -1.630366657036091e-01 
-1.285908459707724e+00, -1.725418728377316e-01 
-1.297324717042224e+00, -1.823066825358989e-01 
-1.309053748550273e+00, -1.923967773745560e-01 
-1.321126831649224e+00, -2.027808799363483e-01 
-1.333450134087014e+00, -2.132681979754113e-01 
-1.346242597785125e+00, -2.241089508305836e-01 
-1.359535500160914e+00, -2.352186894750071e-01 
-1.373453950883798e+00, -2.466412022929786e-01 
-1.387591343528165e+00, -2.583139344497884e-01 
-1.402729613527887e+00, -2.706997917222876e-01 
-1.418712373796187e+00, -2.833483793005671e-01 
-1.435195572742165e+00, -2.962190365420656e-01 
-1.453242642555882e+00, -3.099998666285886e-01 
-1.472634641315856e+00, -3.239402115436212e-01 
-1.493684343195633e+00, -3.382027138574081e-01 
-1.515797477265474e+00, -3.519022226588087e-01 
-1.540975798236085e+00, -3.666964410676272e-01 
-1.569156751272756e+00, -3.816783239805744e-01 
-1.600778220218454e+00, -3.963474327199737e-01 
-1.637685572697113e+00, -4.117984768932428e-01 
-1.681755453750021e+00, -4.278750694136080e-01 
-1.736178159947366e+00, -4.442644361075210e-01 
-1.806521071578302e+00, -4.601533641237573e-01 
-1.904137891142620e+00, -4.770118920779923e-01 
-2.059023661883569e+00, -5.116985479244610e-01 
-2.357285113778903e+00, -7.122493480034123e-01 
-2.284752782933131e+00, -1.198175304027521e+00 
-2.061213081098405e+00, -1.420651573672185e+00 
-1.857534539283974e+00, -1.505507206955746e+00 
-1.695173465795228e+00, -1.544885475405434e+00 
-1.567436493318242e+00, -1.567123719144694e+00 
-1.433725534126489e+00, -1.545260804413692e+00 
-1.337484920925782e+00, -1.561837835611734e+00 
-1.268549493075812e+00, -1.575787563751972e+00 
-1.154074145557259e+00, -1.553611874847422e+00 
-1.119825373553758e+00, -1.581605163379964e+00 
-1.014576864154870e+00, -1.554550197368066e+00 
-9.805783114902064e-01, -1.536847179145252e+00 
-9.197437347351283e-01, -1.562025500115862e+00 
-8.317290822987327e-01, -1.505131877947488e+00 
-8.155586575263031e-01, -1.564527693504246e+00 
-7.310470758336446e-01, -1.515234483753088e+00 
-6.685547959587624e-01, -1.480485273071909e+00 
-6.594217900911620e-01, -1.525587308897525e+00 
-6.096594190796818e-01, -1.489086562844478e+00 
-5.347812819323003e-01, -1.407045897122849e+00 
-5.382843526760375e-01, -1.398851213775892e+00 
-5.092901867881418e-01, -1.423435263816762e+00 
-4.413869137108798e-01, -1.415709741730127e+00 
-4.036350709636412e-01, -1.357189693859304e+00 
-3.986932390215834e-01, -1.338454520863781e+00 
-3.832109174309594e-01, -1.322659425099609e+00 
-3.422687781135316e-01, -1.320845334893031e+00 
-3.129931154694426e-01, -1.305988561649503e+00 
-2.968946287569291e-01, -1.265077699749430e+00 
-2.805897110898740e-01, -1.251440745782739e+00 
-2.677096706231691e-01, -1.239555327187917e+00 
-2.563903732824685e-01, -1.224729831361743e+00 
-2.372892545038946e-01, -1.206213600287704e+00 
-2.212752168182391e-01, -1.186289885432699e+00 
-2.119826961221292e-01, -1.166303615742984e+00 
-2.000816388186294e-01, -1.151916003759778e+00 
-1.883619905357874e-01, -1.134994920970834e+00 
-1.795167369078511e-01, -1.119043438119888e+00 
-1.692295943398587e-01, -1.103686226198683e+00 
-1.594929343173107e-01, -1.088860730372510e+00 
-1.525837528236363e-01, -1.074973557066980e+00 
-1.433756811543844e-01, -1.060804887005258e+00 
-1.346117488115706e-01, -1.047042823369148e+00 
-1.263764048220529e-01, -1.033875030662779e+00 
-1.210905212890923e-01, -1.021364063720860e+00 
-1.131835901817999e-01, -1.008509045188039e+00 
-1.057020319505328e-01, -9.962170201676044e-01 
-1.014514309320160e-01, -9.850822595892970e-01 
-9.416066494661307e-02, -9.730091764903457e-01 
-8.718267313475810e-02, -9.614052546517164e-01 
-8.407682559142686e-02, -9.516154230196654e-01 
-7.735218086014575e-02, -9.401678882678102e-01 
-7.084335030861272e-02, -9.291582373589219e-01 
-6.462227199674381e-02, -9.185864702930009e-01 
-6.200435216414740e-02, -9.096724063468841e-01 
-5.592089448863959e-02, -8.991319166983178e-01 
-5.021902130486031e-02, -8.889980334753639e-01 
-4.837365368092734e-02, -8.812412339713745e-01 
-4.241843341657420e-02, -8.710760733310660e-01 
-3.666338862329176e-02, -8.613175191163697e-01 
-3.137750509033125e-02, -8.519030164925760e-01 
-3.151825346842783e-02, -8.474303458108402e-01 
-2.793010814948564e-02, -8.394858818027221e-01 
-2.437699353798083e-02, -8.312911984557656e-01 
-1.781374028025046e-02, -8.218141409972624e-01 
-1.476888370076108e-02, -8.143701156668209e-01 
-1.176906660226260e-02, -8.066758709975410e-01 
-8.814601758928581e-03, -7.987626844067778e-01 
-3.227829471014937e-03, -7.900050075474350e-01 
5.279002501142453e-05, -7.827486467211222e-01 
3.293824821633557e-03, -7.752420665559713e-01 
8.253484891583543e-03, -7.670161057916599e-01 
1.105813090578809e-02, -7.599161320521213e-01 
1.381554801978690e-02, -7.525659389737442e-01 
1.652479791105932e-02, -7.450280813912384e-01 
2.135340560229271e-02, -7.376466108955065e-01 
2.396006556464140e-02, -7.308906887468707e-01 
2.651699443339596e-02, -7.239471020941060e-01 
3.114198613764964e-02, -7.162841348421810e-01 
3.366075655723135e-02, -7.097471546150287e-01 
3.612854478652475e-02, -7.029912324663927e-01 
4.041980644760275e-02, -6.951718781276938e-01 
4.275310178227052e-02, -6.889163946567346e-01 
4.503635324917062e-02, -6.824419692642918e-01 
