rs=5.0, 
Re fxc, Im fxc 
-8.586492730504320e+00, 0.000000000000000e+00 
-8.587714504619743e+00, -1.364450181567073e-03 
-8.589750794812112e+00, -2.566811663821532e-03 
-8.592601601081428e+00, -3.549253805300081e-03 
-8.596538428786676e+00, -3.751118039703647e-03 
-8.602647299363786e+00, -9.415805849516682e-04 
-8.613236008364108e+00, -1.220742395057581e-03 
-8.624231975402903e+00, -1.509162537904800e-03 
-8.636992727275084e+00, -1.983210894688426e-03 
-8.651382511301163e+00, -2.507351990204341e-03 
-8.667265574801645e+00, -3.203898988674210e-03 
-8.685184928494497e+00, -4.060905654302797e-03 
-8.704326056302770e+00, -5.036831667165765e-03 
-8.725910732341887e+00, -6.336256315256504e-03 
-8.749124440534899e+00, -7.711702463862372e-03 
-8.773967180881808e+00, -9.521149928801933e-03 
-8.800981964100577e+00, -1.149214308233614e-02 
-8.829490026793751e+00, -1.382776793298398e-02 
-8.860441637717766e+00, -1.654010646922019e-02 
-8.893022280795678e+00, -1.939498531892227e-02 
-8.927639214065961e+00, -2.310917862980428e-02 
-8.964292437528613e+00, -2.691161118235564e-02 
-9.002846198504143e+00, -3.148376142762268e-02 
-9.043979260390007e+00, -3.642651648790097e-02 
-9.086469849070784e+00, -4.197744355230029e-02 
-9.131946996700371e+00, -4.827908293428652e-02 
-9.179460434522325e+00, -5.487394810397395e-02 
-9.228738657177669e+00, -6.282090996139475e-02 
-9.280867686102329e+00, -7.105295244574727e-02 
-9.334489994501393e+00, -8.041174216987761e-02 
-9.391370367208248e+00, -9.050359636326098e-02 
-9.449472514030525e+00, -1.014262569551311e-01 
-9.511511488558050e+00, -1.136141325198602e-01 
-9.575722505957435e+00, -1.263097231058867e-01 
-9.641562555510717e+00, -1.408026791683780e-01 
-9.711203680089755e+00, -1.559391029316582e-01 
-9.781930826104723e+00, -1.725145050975462e-01 
-9.857273563222394e+00, -1.903795577186014e-01 
-9.934924095891420e+00, -2.089233737371132e-01 
-1.001461091875281e+01, -2.301143670057054e-01 
-1.009864182735793e+01, -2.517669193845680e-01 
-1.018389451007847e+01, -2.757001167788845e-01 
-1.027471305265815e+01, -3.008415130206736e-01 
-1.036593885327630e+01, -3.277341188279004e-01 
-1.046449529858699e+01, -3.567580417031407e-01 
-1.056576679748750e+01, -3.867865344066166e-01 
-1.066961759729834e+01, -4.202088440973751e-01 
-1.078025603108375e+01, -4.547307504920131e-01 
-1.089293075506153e+01, -4.922120652995615e-01 
-1.101687295143709e+01, -5.322455304815463e-01 
-1.113918611565876e+01, -5.750619255931030e-01 
-1.128077616036818e+01, -6.351867873398004e-01 
-1.142616728010337e+01, -6.973615145468165e-01 
-1.155934065868434e+01, -7.697312679836295e-01 
-1.169930167123987e+01, -8.534906712297625e-01 
-1.183627612484659e+01, -9.367477895617778e-01 
-1.197447235256874e+01, -1.030091331979997e+00 
-1.211592664459867e+01, -1.126462159150872e+00 
-1.225235808748743e+01, -1.226158926969284e+00 
-1.239449114291482e+01, -1.332575452422515e+00 
-1.253336613403443e+01, -1.440607434761693e+00 
-1.267604220017978e+01, -1.555589954290826e+00 
-1.281736073953023e+01, -1.672608764012327e+00 
-1.296315911730389e+01, -1.797908487182799e+00 
-1.311180830134686e+01, -1.927009285379027e+00 
-1.325665641036408e+01, -2.059911158601011e+00 
-1.340897091675332e+01, -2.198243139002647e+00 
-1.355734859543731e+01, -2.340511947109532e+00 
-1.371509320900621e+01, -2.490111399908946e+00 
-1.386713621003646e+01, -2.642968917016152e+00 
-1.403003942542603e+01, -2.805736379726222e+00 
-1.419565769440541e+01, -2.972847928180014e+00 
-1.435448832941023e+01, -3.145525336492951e+00 
-1.452825175915910e+01, -3.325669142177908e+00 
-1.469115497454866e+01, -3.510835797004043e+00 
-1.486491840429753e+01, -3.706183902792026e+00 
-1.504275441443114e+01, -3.906554857721188e+00 
-1.521651784418000e+01, -4.109233608201701e+00 
-1.540928664905765e+01, -4.310011821169335e+00 
-1.557218986444721e+01, -4.529388151227280e+00 
-1.576224361573503e+01, -4.753108567028945e+00 
-1.596180005458725e+01, -4.976421724792136e+00 
-1.616542907382420e+01, -5.211409612991579e+00 
-1.638534841460011e+01, -5.451420350332200e+00 
-1.661205538935058e+01, -5.684100442980291e+00 
-1.686319784640949e+01, -5.933342362526322e+00 
-1.713198815180227e+01, -6.167515734648816e+00 
-1.742385641270857e+01, -6.418793944387216e+00 
-1.774559026310295e+01, -6.658804681727837e+00 
-1.811076497093455e+01, -6.915241493286906e+00 
-1.853431333094741e+01, -7.173986100397327e+00 
-1.903524071827032e+01, -7.421191729750987e+00 
-1.962169229367274e+01, -7.686588218156481e+00 
-2.033303633420716e+01, -7.933658094830651e+00 
-2.120999864372097e+01, -8.198511572518180e+00 
-2.234353351747334e+01, -8.466487361834009e+00 
-2.386396352777592e+01, -8.713557238508180e+00 
-2.601971607809779e+01, -8.976645931362322e+00 
-2.937280726153294e+01, -9.233082742921390e+00 
-3.548846547261608e+01, -9.626494008087182e+00 
-5.102128706001081e+01, -1.871622192146576e+01 
-4.284761822783954e+01, -5.084616610346703e+01 
-1.173133930359981e+01, -5.749804739854081e+01 
1.631882960164937e+00, -4.055611299802636e+01 
2.468119465831355e+00, -3.130185283710433e+01 
2.161997173578470e+00, -2.631294186579900e+01 
1.649530808498806e+00, -2.379744471482518e+01 
6.324853090179235e-01, -2.242634265196303e+01 
7.404358397494066e-01, -2.093985081153328e+01 
-1.144435813915520e-01, -1.970585895495735e+01 
-2.730393642608550e-01, -1.954567079315761e+01 
-1.937597994379348e-01, -1.835104721363415e+01 
