rs=8.0, 
Re fxc, Im fxc 
-3.681699549518974e+01, 0.000000000000000e+00 
-3.682394603237970e+01, -6.723949677562122e-03 
-3.683437183816464e+01, -1.230106071878173e-02 
-3.685522344973450e+01, -1.507084978897865e-02 
-3.688650086708929e+01, -4.078575223065385e-03 
-3.693862989601395e+01, -5.544791043286317e-03 
-3.699770946212857e+01, -7.486771134159644e-03 
-3.706721483402811e+01, -1.019609053080396e-02 
-3.714714601171259e+01, -1.383156900800974e-02 
-3.723750299518200e+01, -1.835741129924871e-02 
-3.734176105303132e+01, -2.438804489211285e-02 
-3.745644491666557e+01, -3.135873863991837e-02 
-3.758155458608476e+01, -4.057723611495521e-02 
-3.771709006128887e+01, -5.070764406931410e-02 
-3.786652661087290e+01, -6.400054644510236e-02 
-3.802638896624185e+01, -7.809971113492534e-02 
-3.819667712739574e+01, -9.645955512219054e-02 
-3.838086636292955e+01, -1.163658936342206e-01 
-3.857895667284325e+01, -1.399490663197367e-01 
-3.878747278854189e+01, -1.664028108647041e-01 
-3.900988997862044e+01, -1.966515487153867e-01 
-3.924273297448391e+01, -2.308586174957485e-01 
-3.949295231332228e+01, -2.688745806562055e-01 
-3.975012218935061e+01, -3.120478424116087e-01 
-4.002814367694879e+01, -3.589257404892578e-01 
-4.031311570173693e+01, -4.123406187940593e-01 
-4.061546406949996e+01, -4.693350237516873e-01 
-4.092823824304791e+01, -5.343572991637130e-01 
-4.126186402816574e+01, -6.027158324269170e-01 
-4.160244035047352e+01, -6.808746231279568e-01 
-4.196386828435116e+01, -7.620916501925769e-01 
-4.233572202401373e+01, -8.548813216784713e-01 
-4.272147683805622e+01, -9.525711218832839e-01 
-4.313155853226354e+01, -1.059678899980485e+00 
-4.354859076366082e+01, -1.174501774358536e+00 
-4.398994987522294e+01, -1.298742626628975e+00 
-4.443825952397501e+01, -1.432644725593451e+00 
-4.491437132148690e+01, -1.575964802450316e+00 
-4.540090892478373e+01, -1.731100792530104e+00 
-4.591177340824539e+01, -1.895654760502280e+00 
-4.643306369749200e+01, -2.074353071656013e+00 
-4.698563140409339e+01, -2.262260844586437e+00 
-4.754862491647972e+01, -2.466988917516551e+00 
-4.814289584622084e+01, -2.680717936107656e+00 
-4.874759258174689e+01, -2.914534007177731e+00 
-4.939051727181769e+01, -3.157073002421198e+00 
-5.004734303626841e+01, -3.423417587540260e+00 
-5.072154514369401e+01, -3.700465999931852e+00 
-5.147915369739907e+01, -4.004204475132870e+00 
-5.223328698250914e+01, -4.332617357358227e+00 
-5.307430198249365e+01, -4.761813028837926e+00 
-5.388056429652840e+01, -5.205952355276027e+00 
-5.470420295353802e+01, -5.719597053613676e+00 
-5.551046526757276e+01, -6.245752718893242e+00 
-5.635843080474722e+01, -6.824732466816465e+00 
-5.718554473035183e+01, -7.423521245731057e+00 
-5.805783714769114e+01, -8.075134107289305e+00 
-5.890580268486561e+01, -8.758371913061847e+00 
-5.979894671377477e+01, -9.500341758089505e+00 
-6.065386278813920e+01, -1.027463160105045e+01 
-6.155743262283330e+01, -1.110939111756401e+01 
-6.241234869719772e+01, -1.196222203077144e+01 
-6.331244326329685e+01, -1.287308992951499e+01 
-6.416388406906628e+01, -1.381697287991084e+01 
-6.504312702359555e+01, -1.478970055964499e+01 
-6.591194417233989e+01, -1.584131683648513e+01 
-6.674948390372941e+01, -1.690440149968869e+01 
-6.762872685825867e+01, -1.805575798520467e+01 
-6.847321712683816e+01, -1.921163231989413e+01 
-6.935941061855739e+01, -2.043840213392113e+01 
-7.017957400697203e+01, -2.167177495827858e+01 
-7.103449008133646e+01, -2.296283724131265e+01 
-7.185465346975110e+01, -2.426780059872664e+01 
-7.270609427552054e+01, -2.563775147886670e+01 
-7.352625766393520e+01, -2.703376687346909e+01 
-7.441592642424939e+01, -2.849650742509504e+01 
-7.520828766390422e+01, -2.994604195606008e+01 
-7.610490696140837e+01, -3.146369175148668e+01 
-7.692507034982300e+01, -3.298620692294624e+01 
-7.772785739526279e+01, -3.452957370597567e+01 
-7.865227884152674e+01, -3.603158479272487e+01 
-7.952804652746103e+01, -3.762325780922448e+01 
-8.052892388281450e+01, -3.918017813977432e+01 
-8.156107865552276e+01, -4.079270276784380e+01 
-8.274266997781505e+01, -4.239480159012835e+01 
-8.403894516374160e+01, -4.400037568100787e+01 
-8.551593431660696e+01, -4.565112826362210e+01 
-8.721881592814584e+01, -4.725322708590664e+01 
-8.924142225042264e+01, -4.889702913133092e+01 
-9.166715972971681e+01, -5.046785053626066e+01 
-9.465936598999230e+01, -5.210122677590001e+01 
-9.837790338661802e+01, -5.365119656925989e+01 
-1.032120020022315e+02, -5.528457280889923e+01 
-1.096760015888893e+02, -5.689362216837373e+01 
-1.187777300391349e+02, -5.850962206503819e+01 
-1.325502194810300e+02, -6.019512733360219e+01 
-1.559005491706826e+02, -6.179027561869678e+01 
-2.055864642730734e+02, -6.351400884180553e+01 
-3.948252650753735e+02, -2.005681764219262e+02 
