omega (eV),"DLDA, re alpha","DLDA, im alpha","MCP07 k0, re","MCP07 k0, im",MCP07 re,MCP07 im
8.500,0.308935,-0.019345,0.139625,-0.009025,0.024365,-0.001525
8.600,0.308655,-0.019015,0.13959,-0.008875,0.02434,-0.0015
8.700,0.308375,-0.0187,0.13956,-0.008725,0.02432,-0.001475
8.800,0.308105,-0.01839,0.139525,-0.00858,0.0243,-0.00145
8.900,0.307845,-0.01809,0.139495,-0.00844,0.02428,-0.001425
9.000,0.307585,-0.0178,0.13946,-0.008305,0.02426,-0.001405
9.100,0.307335,-0.017515,0.13943,-0.00817,0.02424,-0.00138
9.200,0.30709,-0.01724,0.1394,-0.008045,0.02422,-0.00136
9.300,0.30685,-0.01697,0.139365,-0.007915,0.0242,-0.00134
9.400,0.306615,-0.016705,0.139335,-0.007795,0.02418,-0.001315
9.500,0.306385,-0.01645,0.139305,-0.007675,0.024165,-0.001295
9.600,0.306165,-0.0162,0.139275,-0.00756,0.024145,-0.00128
9.700,0.305945,-0.015955,0.139245,-0.007445,0.02413,-0.00126
9.800,0.30573,-0.015715,0.139215,-0.007335,0.02411,-0.00124
9.900,0.30552,-0.015485,0.139185,-0.007225,0.024095,-0.00122
10.000,0.30532,-0.01526,0.139155,-0.00712,0.02408,-0.001205
