omega (eV),"DLDA, re alpha","DLDA, im alpha","MCP07 k0, re","MCP07 k0, im",MCP07 re,MCP07 im
8.500,0.20801,-0.0035,0.111535,-0.001875,0.014485,-0.000245
8.600,0.20795,-0.00344,0.1115,-0.001845,0.014485,-0.00024
8.700,0.207895,-0.00338,0.11147,-0.001815,0.01448,-0.000235
8.800,0.20784,-0.003325,0.11144,-0.00178,0.014475,-0.00023
8.900,0.207785,-0.00327,0.11141,-0.001755,0.01447,-0.00023
9.000,0.20773,-0.003215,0.11138,-0.001725,0.01447,-0.000225
9.100,0.20768,-0.00316,0.111355,-0.001695,0.014465,-0.00022
9.200,0.20763,-0.00311,0.11133,-0.00167,0.01446,-0.000215
9.300,0.20758,-0.00306,0.1113,-0.00164,0.014455,-0.000215
9.400,0.207535,-0.00301,0.111275,-0.001615,0.014455,-0.00021
9.500,0.207485,-0.002965,0.11125,-0.00159,0.01445,-0.000205
9.600,0.20744,-0.00292,0.111225,-0.001565,0.01445,-0.000205
9.700,0.207395,-0.002875,0.111205,-0.00154,0.014445,-0.0002
9.800,0.207355,-0.00283,0.11118,-0.00152,0.01444,-0.000195
9.900,0.20731,-0.00279,0.11116,-0.001495,0.01444,-0.000195
10.000,0.20727,-0.002745,0.111135,-0.001475,0.014435,-0.00019
