# omega (eV), Re alpha(omega), Im alpha(omega)
0.010000000000000002,0.000030827917244612,-0.003226923703586015
0.020000000000000004,0.000122848471128272,-0.006449777740145971
0.030000000000000009,0.000274775354885324,-0.009664837456002707
0.040000000000000008,0.000484718848220536,-0.012868902942766583
0.050000000000000010,0.000750406706090659,-0.016059337467371888
0.060000000000000019,0.001069363562180288,-0.019234031718036206
0.069999999999999993,0.001439043821098346,-0.022391336741454878
0.079999999999999988,0.001856924141643032,-0.025529988516807951
0.089999999999999997,0.002320563753488863,-0.028649035864917634
0.100000000000000006,0.002827640567134948,-0.031747776939507616
0.110000000000000001,0.003375969917872431,-0.034825705911402140
0.119999999999999996,0.003963511395147510,-0.037882469572452449
0.130000000000000004,0.004588367873115579,-0.040917832738670404
0.140000000000000013,0.005248779726455775,-0.043931651056497462
0.150000000000000022,0.005943116323076803,-0.046923849832379051
0.159999999999999976,0.006669866212719641,-0.049894407654265956
0.170000000000000012,0.007427626939605956,-0.052843343767396661
0.180000000000000021,0.008215095058604361,-0.055770708361095496
0.190000000000000030,0.009031056693035729,-0.058676575097782104
0.200000000000000011,0.009874378809763804,-0.061561035362580799
0.210000000000000020,0.010744001281340581,-0.064424193831374849
0.220000000000000001,0.011638929738813102,-0.067266165049597426
0.230000000000000010,0.012558229179815032,-0.070087070787385325
0.240000000000000019,0.013501018275731771,-0.072887037992949377
0.250000000000000000,0.014466464312615118,-0.075666197208757252
0.260000000000000009,0.015453778698720578,-0.078424681347433828
0.270000000000000018,0.016462212974026037,-0.081162624748632867
0.280000000000000027,0.017491055261888371,-0.083880162456463112
0.290000000000000036,0.018539627108846313,-0.086577429670860073
0.299999999999999989,0.019607280664677405,-0.089254561336719260
0.309999999999999998,0.020693396160722036,-0.091911691842505749
0.320000000000000007,0.021797379649949690,-0.094548954806069063
0.330000000000000016,0.022918660977136910,-0.097166482929998577
0.340000000000000024,0.024056691951842402,-0.099764407912404998
0.350000000000000033,0.025210944700607925,-0.102342860401773345
0.360000000000000042,0.026380910178030369,-0.104901969986693683
0.369999999999999996,0.027566096819106017,-0.107441865212982227
0.380000000000000004,0.028766029317585665,-0.109962673622066354
0.390000000000000013,0.029980247517069701,-0.112464521805598600
0.400000000000000022,0.031208305403263439,-0.114947535472152459
0.410000000000000031,0.032449770187242551,-0.117411839522574488
0.420000000000000040,0.033704221470804721,-0.119857558131164277
0.429999999999999938,0.034971250486019421,-0.122284814830346866
0.440000000000000002,0.036250459401985624,-0.124693732596914020
0.450000000000000011,0.037541460692565441,-0.127084433938255414
0.460000000000000020,0.038843876559531698,-0.129457040977291937
0.470000000000000029,0.040157338406130082,-0.131811675535068701
0.480000000000000038,0.041481486356565025,-0.134148459210172849
0.489999999999999991,0.042815968817346235,-0.136467513454318623
0.500000000000000000,0.044160442076824499,-0.138768959643593259
0.510000000000000009,0.045514569939576761,-0.141052919144982414
0.520000000000000018,0.046878023392607597,-0.143319513377906216
0.530000000000000027,0.048250480300598926,-0.145568863870586485
0.540000000000000036,0.049631625127680434,-0.147801092311144772
0.550000000000000044,0.051021148683409026,-0.150016320593397645
0.560000000000000053,0.052418747890841728,-0.152214670857370227
0.570000000000000062,0.053824125574759213,-0.154396265524595483
0.580000000000000071,0.055236990268260705,-0.156561227328305935
0.589999999999999969,0.056657056036094215,-0.158709679338655096
0.599999999999999978,0.058084042313219120,-0.160841744983132667
0.609999999999999987,0.059517673757220863,-0.162957548062356489
0.619999999999999996,0.060957680113307586,-0.165057212761441668
0.630000000000000004,0.062403796090721997,-0.167140863657158384
0.640000000000000013,0.063855761249494394,-0.169208625721098710
0.650000000000000022,0.065313319896550967,-0.171260624319078097
0.660000000000000031,0.066776220990270946,-0.173296985207001375
0.670000000000000040,0.068244218052658290,-0.175317834523422422
0.680000000000000049,0.069717069088365863,-0.177323298779027833
0.690000000000000058,0.071194536509867345,-0.179313504843270244
0.700000000000000067,0.072676387068135478,-0.181288579928375271
0.710000000000000075,0.074162391788237816,-0.183248651570939475
0.719999999999999973,0.075652325909306928,-0.185193847611332563
0.729999999999999982,0.077145968828396125,-0.187124296171109122
0.739999999999999991,0.078643104047768503,-0.189040125628628430
0.750000000000000000,0.080143519125205648,-0.190941464593074234
0.760000000000000009,0.081647005626967750,-0.192828441877057638
0.770000000000000018,0.083153359083059306,-0.194701186467977433
0.780000000000000027,0.084662378944494868,-0.196559827498305972
0.790000000000000036,0.086173868542284621,-0.198404494214957761
0.800000000000000044,0.087687635047886084,-0.200235315947891651
0.810000000000000053,0.089203489434895103,-0.202052422078087907
0.820000000000000062,0.090721246441770459,-0.203855942005033403
0.830000000000000071,0.092240724535408755,-0.205646005113840818
0.840000000000000080,0.093761745875404659,-0.207422740742118250
0.849999999999999978,0.095284136278850282,-0.209186278146698934
0.859999999999999876,0.096807725185545201,-0.210936746470334197
0.869999999999999996,0.098332345623499767,-0.212674274708441968
0.880000000000000004,0.099857834174633939,-0.214398991676000850
0.890000000000000124,0.101384030940581793,-0.216111025974668691
0.900000000000000022,0.102910779508526451,-0.217810505960200795
0.910000000000000142,0.104437926917000351,-0.219497559710235851
0.920000000000000040,0.105965323621593430,-0.221172314992510777
0.929999999999999938,0.107492823460525494,-0.222834899233561978
0.940000000000000058,0.109020283620040251,-0.224485439487963123
0.949999999999999956,0.110547564599594181,-0.226124062408144949
0.960000000000000075,0.112074530176811127,-0.227750894214839905
0.970000000000000084,0.113601047372187486,-0.229366060668185462
0.979999999999999982,0.115126986413532695,-0.230969687039520144
0.990000000000000102,0.116652220700137893,-0.232561898083899404
1.000000000000000000,0.118176626766667778,-0.234142818013355319
1.010000000000000009,0.119700084246775862,-0.235712570470922145
1.020000000000000018,0.121222475836447061,-0.237271278505442218
1.030000000000000027,0.122743687257073547,-0.238819064547169585
1.040000000000000036,0.124263607218270830,-0.240356050384180064
1.050000000000000044,0.125782127380450165,-0.241882357139597770
1.060000000000000053,0.127299142317155639,-0.243398105249642505
1.070000000000000062,0.128814549477183349,-0.244903414442504352
1.080000000000000071,0.130328249146500347,-0.246398403718043307
1.090000000000000080,0.131840144409977461,-0.247883191328316876
1.100000000000000089,0.133350141112959120,-0.249357894758931664
1.110000000000000098,0.134858147822686403,-0.250822630711214800
1.120000000000000107,0.136364075789595085,-0.252277515085200743
1.130000000000000115,0.137867838908509482,-0.253722662963425494
1.140000000000000124,0.139369353679751923,-0.255158188595521307
1.150000000000000133,0.140868539170190293,-0.256584205383601383
1.160000000000000142,0.142365316974244288,-0.258000825868424932
1.169999999999999929,0.143859611174871949,-0.259408161716331132
1.179999999999999938,0.145351348304557371,-0.260806323706930909
1.189999999999999947,0.146840457306319394,-0.262195421721540922
1.199999999999999956,0.148326869494765340,-0.263575564732350720
1.209999999999999964,0.149810518517204644,-0.264946860792304506
1.219999999999999973,0.151291340314848172,-0.266309417025686723
1.229999999999999982,0.152769273084107593,-0.267663339619393814
1.239999999999999991,0.154244257238016685,-0.269008733814879109
1.250000000000000000,0.155716235367791750,-0.270345703900753409
1.260000000000000009,0.157185152204549261,-0.271674353206027286
1.270000000000000018,0.158650954581198211,-0.272994784093977372
1.280000000000000027,0.160113591394521859,-0.274307097956622059
1.290000000000000036,0.161573013567468560,-0.275611395209789445
1.300000000000000044,0.163029174011662614,-0.276907775288761870
1.310000000000000053,0.164482027590153290,-0.278196336644480846
1.320000000000000062,0.165931531080413974,-0.279477176740294930
1.330000000000000071,0.167377643137605392,-0.280750392049236852
1.340000000000000080,0.168820324258116161,-0.282016078051811336
1.350000000000000089,0.170259536743391754,-0.283274329234278588
1.360000000000000098,0.171695244664064273,-0.284525239087418780
1.370000000000000107,0.173127413824392173,-0.285768900105759505
1.380000000000000115,0.174556011727022675,-0.287005403787252533
1.390000000000000124,0.175981007538083434,-0.288234840633384670
1.400000000000000133,0.177402372052615248,-0.289457300149705332
1.410000000000000142,0.178820077660351628,-0.290672870846759135
1.419999999999999929,0.180234098311853885,-0.291881640241406448
1.429999999999999938,0.181644409485010760,-0.293083694858518429
1.439999999999999947,0.183050988151905070,-0.294279120233032210
1.449999999999999956,0.184453812746058016,-0.295468000912352591
1.459999999999999964,0.185852863130053281,-0.296650420459086073
1.469999999999999973,0.187248120563547893,-0.297826461454094360
1.479999999999999982,0.188639567671673697,-0.298996205499854006
1.489999999999999991,0.190027188413833176,-0.300159733224109049
1.500000000000000000,0.191410968052894287,-0.301317124283805415
1.510000000000000009,0.192790893124786866,-0.302468457369292509
1.520000000000000018,0.194166951408502708,-0.303613810208782753
1.530000000000000027,0.195539131896502710,-0.304753259573055102
1.540000000000000036,0.196907424765533440,-0.305886881280392486
1.550000000000000044,0.198271821347852262,-0.307014750201741571
