# omega (eV), Re alpha(w), Im alpha(w)
0.010000000000000000,0.000064996832955735,-0.003923423808688514
0.060000000000000005,0.002178256829134699,-0.023145684912941000
0.110000000000000001,0.006510718402510142,-0.041227837347302725
0.160000000000000031,0.012189674030047266,-0.058130478603344665
0.210000000000000020,0.018761277996833851,-0.074014101726518872
0.260000000000000009,0.026010693551698501,-0.089007504009493810
0.310000000000000053,0.033811446555146257,-0.103199624788856498
0.360000000000000042,0.042070498656140543,-0.116657445178696306
0.410000000000000031,0.050713599211786732,-0.129435424386782516
0.460000000000000020,0.059680655347128922,-0.141579390910462261
0.510000000000000009,0.068922873457599038,-0.153128384988662519
0.560000000000000053,0.078400319765388943,-0.164115821141509660
0.610000000000000098,0.088079845018756778,-0.174570402930025348
0.660000000000000031,0.097933397893238835,-0.184516917534076313
0.710000000000000075,0.107936698606146173,-0.193976945172725762
0.760000000000000009,0.118068220133238005,-0.202969490119979584
0.810000000000000053,0.128308423203583905,-0.211511532342708558
0.860000000000000098,0.138639197447525092,-0.219618498488326153
0.910000000000000031,0.149043467888449938,-0.227304653357291081
0.960000000000000075,0.159504931796084243,-0.234583415967474368
1.010000000000000009,0.170007895893696165,-0.241467606822092951
1.060000000000000053,0.180537188408479737,-0.247969634631294900
1.110000000000000098,0.191078124671462929,-0.254101631478552248
1.160000000000000142,0.201616508930000299,-0.259875545418780940
1.210000000000000187,0.212138658664482893,-0.265303198958953768
1.260000000000000009,0.222631440922115842,-0.270396321010172025
1.310000000000000053,0.233082312942967856,-0.275166558880763523
1.360000000000000098,0.243479361643629572,-0.279625475825687309
1.410000000000000142,0.253811338361909444,-0.283784538658780228
1.460000000000000187,0.264067686695122039,-0.287655099018428173
1.510000000000000009,0.274238562340049341,-0.291248371076644363
1.560000000000000053,0.284314844623545393,-0.294575407802406208
1.610000000000000098,0.294288139955918349,-0.297647077328200338
1.660000000000000142,0.304150777795973826,-0.300474040513675655
1.710000000000000187,0.313895799931131092,-0.303066730439399856
1.760000000000000009,0.323516943985036221,-0.305435334282942283
1.810000000000000053,0.333008622098311113,-0.307589777815792886
1.860000000000000098,0.342365895708719503,-0.309539712600641004
1.910000000000000142,0.351584447303192715,-0.311294505853634995
1.960000000000000187,0.360660549939261776,-0.312863232856233464
2.009999999999999787,0.369591035247448296,-0.314254671748282810
2.060000000000000053,0.378373260536257805,-0.315477300501980029
2.109999999999999876,0.387005075532418530,-0.316539295859722292
2.159999999999999698,0.395484789204273490,-0.317448534013988204
2.209999999999999964,0.403811137037699108,-0.318212592810520389
2.259999999999999787,0.411983249062848111,-0.318838755265053786
2.310000000000000053,0.420000618866625708,-0.319334014196411498
2.359999999999999876,0.427863073770401114,-0.319705077793712211
2.410000000000000142,0.435570746304509260,-0.319958375951445884
2.459999999999999964,0.443124047070186766,-0.320100067222499396
2.509999999999999787,0.450523639045249724,-0.320136046255390772
2.560000000000000053,0.457770413361165585,-0.320071951597376392
2.609999999999999876,0.464865466555820395,-0.319913173759762304
2.660000000000000142,0.471810079287306006,-0.319664863455269566
2.709999999999999964,0.478605696479142140,-0.319331939929710373
2.759999999999999787,0.485253908855708682,-0.318919099321551047
2.810000000000000053,0.491756435817932602,-0.318430822993079843
2.859999999999999876,0.498115109602893236,-0.317871385785934213
2.910000000000000142,0.504331860666756837,-0.317244864161829565
2.959999999999999964,0.510408704227685583,-0.316555144196378924
3.009999999999999787,0.516347727904115428,-0.315805929400113650
3.060000000000000053,0.522151080383531196,-0.315000748346223713
3.109999999999999876,0.527820961057506421,-0.314142962089232425
3.160000000000000142,0.533359610560153796,-0.313235771362807780
3.209999999999999964,0.538769302148836560,-0.312282223548430438
3.259999999999999787,0.544052333868392801,-0.311285219409516922
3.310000000000000053,0.549211021442464919,-0.310247519588138343
3.359999999999999876,0.554247691838320122,-0.309171750863514672
3.410000000000000142,0.559164677454265013,-0.308060412173240816
3.459999999999999964,0.563964310881700293,-0.306915880399601382
3.509999999999999787,0.568648920196606955,-0.305740415924530606
3.560000000000000053,0.573220824738128631,-0.304536167957702830
3.609999999999999876,0.577682331334688381,-0.303305179642983092
3.660000000000000142,0.582035730940695051,-0.302049392949046258
3.709999999999999964,0.586283295649479785,-0.300770653350419970
3.759999999999999787,0.590427276050602967,-0.299470714305505370
3.810000000000000053,0.594469898901900939,-0.298151241538353096
3.859999999999999876,0.598413365088980909,-0.296813817131076740
3.910000000000000142,0.602259847846854379,-0.295459943433861949
3.959999999999999964,0.606011491220392551,-0.294091046799523692
4.009999999999999787,0.609670408742151393,-0.292708481149465183
4.059999999999999609,0.613238682307777561,-0.291313531377874524
4.110000000000000320,0.616718361230816248,-0.289907416600771406
4.160000000000000142,0.620111461460281399,-0.288491293256472325
4.209999999999999964,0.623419964945595595,-0.287066258063775559
4.259999999999999787,0.626645819134983739,-0.285633350844038625
4.309999999999999609,0.629790936594354256,-0.284193557213103853
4.360000000000000320,0.632857194734993689,-0.282747811148857497
4.410000000000000142,0.635846435639268015,-0.281296997439921370
4.459999999999999964,0.638760465974516078,-0.279841954020879802
4.509999999999999787,0.641601056986164320,-0.278383474199137837
4.559999999999999609,0.644369944561862140,-0.276922308778356663
4.610000000000000320,0.647068829359138453,-0.275459168083198036
4.660000000000000142,0.649699376989797961,-0.273994723889886826
4.709999999999999964,0.652263218254830135,-0.272529611266939142
4.759999999999999787,0.654761949424136680,-0.271064430330200945
4.810000000000000497,0.657197132555986885,-0.269599747916140164
4.860000000000000320,0.659570295851454214,-0.268136099177203990
4.910000000000000142,0.661882934039596305,-0.266673989102826914
