# omega (eV), Re alpha(omega), Im alpha(omega)
0.010000000000000002,0.000000040488835318,-0.000098330861377764
0.020000000000000004,0.000000161955275280,-0.000196661646419995
0.030000000000000009,0.000000364399120928,-0.000294992278791495
0.040000000000000008,0.000000647820041097,-0.000393322682157734
0.050000000000000010,0.000001012217571895,-0.000491652780185186
0.060000000000000019,0.000001457591117073,-0.000589982496541663
0.069999999999999993,0.000001983939947894,-0.000688311754896649
0.079999999999999988,0.000002591263202940,-0.000786640478921636
0.089999999999999997,0.000003279559888425,-0.000884968592290454
0.100000000000000006,0.000004048828878197,-0.000983296018679611
0.110000000000000001,0.000004899068913407,-0.001081622681768625
0.119999999999999996,0.000005830278602954,-0.001179948505240356
0.130000000000000004,0.000006842456423031,-0.001278273412781341
0.140000000000000013,0.000007935600717624,-0.001376597328082134
0.150000000000000022,0.000009109709698077,-0.001474920174837630
0.159999999999999976,0.000010364781443501,-0.001573241876747406
0.170000000000000012,0.000011700813900440,-0.001671562357516054
0.180000000000000021,0.000013117804883279,-0.001769881540853512
0.190000000000000030,0.000014615752073717,-0.001868199350475401
0.200000000000000011,0.000016194653021262,-0.001966515710103356
0.210000000000000020,0.000017854505143037,-0.002064830543465361
0.220000000000000001,0.000019595305724076,-0.002163143774296080
0.230000000000000010,0.000021417051916583,-0.002261455326337196
0.240000000000000019,0.000023319740740982,-0.002359765123337736
0.250000000000000000,0.000025303369085302,-0.002458073089054410
0.260000000000000009,0.000027367933705007,-0.002556379147251943
0.270000000000000018,0.000029513431223824,-0.002654683221703405
0.280000000000000027,0.000031739858133040,-0.002752985236190547
0.290000000000000036,0.000034047210791678,-0.002851285114504131
0.299999999999999989,0.000036435485426893,-0.002949582780444262
0.309999999999999998,0.000038904678133522,-0.003047878157820724
0.320000000000000007,0.000041454784874281,-0.003146171170453308
0.330000000000000016,0.000044085801479983,-0.003244461742172142
0.340000000000000024,0.000046797723649271,-0.003342749796818028
0.350000000000000033,0.000049590546948952,-0.003441035258242772
0.360000000000000042,0.000052464266813647,-0.003539318050309511
0.369999999999999996,0.000055418878546266,-0.003637598096893050
0.380000000000000004,0.000058454377317582,-0.003735875321880187
0.390000000000000013,0.000061570758166781,-0.003834149649170048
0.400000000000000022,0.000064768016000990,-0.003932421002674416
0.410000000000000031,0.000068046145595562,-0.004030689306318062
0.420000000000000040,0.000071405141594187,-0.004128954484039069
0.429999999999999938,0.000074844998508807,-0.004227216459789171
0.440000000000000002,0.000078365710719681,-0.004325475157534077
0.450000000000000011,0.000081967272475298,-0.004423730501253804
0.460000000000000020,0.000085649677892809,-0.004521982414942996
0.470000000000000029,0.000089412920957490,-0.004620230822611265
0.480000000000000038,0.000093256995523489,-0.004718475648283515
0.489999999999999991,0.000097181895312992,-0.004816716816000268
0.500000000000000000,0.000101187613917201,-0.004914954249817992
0.510000000000000009,0.000105274144795752,-0.005013187873809432
0.520000000000000018,0.000109441481276909,-0.005111417612063933
0.530000000000000027,0.000113689616557632,-0.005209643388687776
0.540000000000000036,0.000118018543703823,-0.005307865127804490
0.550000000000000044,0.000122428255649953,-0.005406082753555189
0.560000000000000053,0.000126918745199483,-0.005504296190098902
0.570000000000000062,0.000131490005024847,-0.005602505361612886
0.580000000000000071,0.000136142027667253,-0.005700710192292961
0.589999999999999969,0.000140874805537090,-0.005798910606353827
0.599999999999999978,0.000145688330913748,-0.005897106528029406
0.609999999999999987,0.000150582595945752,-0.005995297881573143
0.619999999999999996,0.000155557592650787,-0.006093484591258352
0.630000000000000004,0.000160613312915721,-0.006191666581378524
0.640000000000000013,0.000165749748496879,-0.006289843776247658
0.650000000000000022,0.000170966891019743,-0.006388016100200582
0.660000000000000031,0.000176264731979382,-0.006486183477593282
0.670000000000000040,0.000181643262740196,-0.006584345832803212
0.680000000000000049,0.000187102474536199,-0.006682503090229628
0.690000000000000058,0.000192642358471003,-0.006780655174293902
0.700000000000000067,0.000198262905517678,-0.006878802009439851
0.710000000000000075,0.000203964106519405,-0.006976943520134047
0.719999999999999973,0.000209745952188741,-0.007075079630866147
0.729999999999999982,0.000215608433108306,-0.007173210266149214
0.739999999999999991,0.000221551539730704,-0.007271335350520027
0.750000000000000000,0.000227575262378257,-0.007369454808539409
0.760000000000000009,0.000233679591243612,-0.007467568564792543
0.770000000000000018,0.000239864516389327,-0.007565676543889292
0.780000000000000027,0.000246130027748358,-0.007663778670464513
0.790000000000000036,0.000252476115123704,-0.007761874869178381
0.800000000000000044,0.000258902768188867,-0.007859965064716699
0.810000000000000053,0.000265409976487696,-0.007958049181791226
0.820000000000000062,0.000271997729434394,-0.008056127145139978
0.830000000000000071,0.000278666016313952,-0.008154198879527556
0.840000000000000080,0.000285414826281843,-0.008252264309745461
0.849999999999999978,0.000292244148364221,-0.008350323360612396
0.859999999999999876,0.000299153971458095,-0.008448375956974605
0.869999999999999996,0.000306144284331258,-0.008546422023706160
0.880000000000000004,0.000313215075622587,-0.008644461485709295
0.890000000000000124,0.000320366333841861,-0.008742494267914706
0.900000000000000022,0.000327598047369826,-0.008840520295281871
0.910000000000000142,0.000334910204458786,-0.008938539492799366
0.920000000000000040,0.000342302793231844,-0.009036551785485162
0.929999999999999938,0.000349775801683749,-0.009134557098386955
0.940000000000000058,0.000357329217680688,-0.009232555356582453
0.949999999999999956,0.000364963028960189,-0.009330546485179723
0.960000000000000075,0.000372677223131437,-0.009428530409317454
0.970000000000000084,0.000380471787675379,-0.009526507054165308
0.979999999999999982,0.000388346709944718,-0.009624476344924205
0.990000000000000102,0.000396301977163820,-0.009722438206826637
1.000000000000000000,0.000404337576429401,-0.009820392565136978
1.010000000000000009,0.000412453494709805,-0.009918339345151786
1.020000000000000018,0.000420649718845578,-0.010016278472200119
1.030000000000000027,0.000428926235549872,-0.010114209871643829
1.040000000000000036,0.000437283031407546,-0.010212133468877881
1.050000000000000044,0.000445720092876417,-0.010310049189330640
1.060000000000000053,0.000454237406286469,-0.010407956958464202
1.070000000000000062,0.000462834957840291,-0.010505856701774662
1.080000000000000071,0.000471512733613434,-0.010603748344792456
1.090000000000000080,0.000480270719553906,-0.010701631813082629
1.100000000000000089,0.000489108901482756,-0.010799507032245172
1.110000000000000098,0.000498027265094117,-0.010897373927915290
1.120000000000000107,0.000507025795954853,-0.010995232425763720
1.130000000000000115,0.000516104479505434,-0.011093082451497040
